Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
CYP,Limassol,Limassol Central,Office workers; tourists; expats; downtown residents,Greek Cypriot majority; large Russian/expat and tourist mix in the centre,Premium,20s-40s professionals and hospitality; mixed-age visitors,CUT / TEPAK nearby; student presence but not the main ranging driver,Office and tourist traffic all day; evening dining along the seafront,Orthodox fasting (nisteia) in season; vegetarian/vegan emerging among expats,Tin/WAGMI beans; NOMAD sourdough; KEAN juices; PDO halloumi; Commandaria/zivania; laiki produce,"Limassol Central (Leontiou) is the downtown premium store. Range specialty coffee, sourdough and a short local wine set. Family volume protein belongs in Limassol West and Agios Athanasios.",High
CYP,Limassol,Limassol West,Working families; west-Limassol residents,Greek Cypriot majority; fewer short-stay tourists than the centre,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; Saturday laiki peak,Orthodox fasting in season,Praskitiko halloumi; Polemidia produce; souvla meat; KEAN; trahana,Limassol West (Dilou) is the residential/west family store. Range village dairy and laiki produce. Do not copy Central's craft-coffee depth.,Medium-High
CYP,Limassol,Agios Athanasios,Suburban families; industrial-area workers; commuters,Greek Cypriot majority; some expats in Mesa Geitonia / Agios Athanasios,Mid-range,30s-50s families and workers,None nearby,Weekday industrial/commute peaks; evening family cooking,Orthodox fasting in season,Lefkonitziatis halloumi and yoghurt; Maroullas dairy; family meat; short Tin coffee set; everyday veg,"Agios Athanasios (Iapetou industrial) has Lefkonitziatis on the doorstep. Lead with that factory dairy. This is suburban Limassol, not old town.",High
CYP,Nicosia,Nicosia Central,Civil servants; office workers; capital residents; some expats,Greek Cypriot majority; smaller expat mix than Limassol centre,Mixed to premium,30s-50s professionals; mixed-age shoppers,University of Cyprus is elsewhere in the city; not this immediate catchment,Office-heavy weekdays; Saturday Constanza laiki,Orthodox fasting in season; some vegetarian office demand,Pivo beer; Kollaborative/Utu beans; NOMAD sourdough; Constanza produce; halloumi; Tsiakkas zivania,Nicosia Central (Digeni Akrita) is the capital office-and-laiki store. Craft beer and specialty coffee belong here. Dali and Parissinos should not get the same premium set.,High
CYP,Nicosia,Dali,Commuter families; village-town residents,Strong Greek Cypriot majority; fewer expats than central Nicosia,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekend souvla and laiki,Orthodox fasting in season,Village halloumi; Dali produce; souvla meat; trahana; family bread,"Dali is a south-Nicosia commuter town. WM lists the same warehouse address as Nicosia Central — still range it as its own catchment: village dairy and family protein, not capital specialty coffee.",Medium
CYP,Nicosia,Parissinos,Suburban Nicosia families; Strovolos / Archangelos residents,Greek Cypriot majority; dense family suburb,Mid-range,30s-50s families; school-age children,None nearby,School-run peaks; evening family cooking,Orthodox fasting in season,Everyday halloumi and yoghurt; Strovolos veg; family meat; daily bread; KEAN juices,Parissinos (Archangelou Ave) is Strovolos family grocery. Volume dairy and weeknight cooking. Leave Pivo and Utu to Nicosia Central.,Medium-High
CYP,Larnaca,Larnaca Central,Local families; airport/tourism workers; summer visitors,Greek Cypriot majority; tourist mix in summer; some expats,Mixed,30s-50s families; mixed-age summer visitors,None nearby,Town daytime year-round; sharper summer evening demand,Orthodox fasting in season,Zygi and Larnaca fish; Vouyiouklakis halloumi; citrus; KEAN; souvla meat,"Larnaca Central (Thessalonikis Ave) should own seafood: Zygi landings plus the town fish market. Pair with Skarinou halloumi, not a Limassol coffee clone.",High
CYP,Paphos,Paphos,British holiday-home owners; tourists; west-coast residents,British and Northern European holiday-home community; Greek Cypriot residents; summer visitors,Mixed to premium in summer; mid-range off-season,50s-70s long-stay visitors; 30s-40s hospitality; families in summer,None nearby,Quiet winter residential; high summer old-town and Kato Paphos demand,None dominant; British pantry comforts alongside Cypriot BBQ,Aphrodite's Rock beer; Beanhaus beans; Geroskipou loukoumi PGI; Vasilikon wine; halloumi for the grill; west-coast fruit,"Paphos (Ellados Ave) is holiday-home plus old town. Range Geroskipou PGI sweets, Tsada craft beer and grilling halloumi. Winter ranging should shrink to residents.",High
CYP,Ammochostos,Ammochostos,Summer tourists; Paralimni families; free Famagusta-coast residents,Greek Cypriot (including 1974 Famagusta displaced families); sharp summer visitor mix in Ayia Napa/Protaras,Mixed to premium in summer; quieter mid-range off-season,Families year-round; mixed-age summer visitors,None nearby,Quiet winter; very high summer daytime beach and BBQ demand,None dominant,Day-boat fish; grilling halloumi; salad veg; KEAN and water; koupes and beach snacks,Ammochostos store is physically in Paralimni. Treat it as the east-coast summer engine with a local family base. Do not copy Paphos loukoumi or Nicosia craft beer as the lead.,Medium-High
CYP,Ayia Napa,Ayia Napa,Summer tourists; hospitality workers; a small year-round resident base,Greek Cypriot residents; sharp Northern European visitor mix in summer,Premium in summer; much quieter mid-range off-season,20s-40s summer nightlife; mixed-age beach visitors; older winter residents few,None nearby,Quiet winter; very high summer day-beach and late-night demand,None dominant,Water and ice; BBQ and salad veg; beer and mixers; day-boat fish; halloumi for the grill; beach snacks,"No dedicated Wolt Market store yet (east-coast volume today sits in the Paralimni / Ammochostos catchment). Ayia Napa is a summer-engine city: if you opened here, range beach BBQ, water and grill halloumi, not Nicosia craft beer. Winter ranging should shrink hard.",Medium-High
CYP,Limassol,Germasogeia,East-Limassol residents; some tourists along the tourist strip,Greek Cypriot majority; Russian/expat mix toward the coast,Mixed to premium on the coast; mid-range inland,30s-50s families inland; mixed-age visitors on the strip,None nearby,Residential evenings; tourist-strip daytime in season,Orthodox fasting in season,Laiki-quality produce; grilling halloumi; KEAN; family meat; short specialty-coffee set,"Germasogeia is in range of Limassol Central / Agios Athanasios, not a separate dark store. East-Limassol families plus a tourist-strip edge. Range like a residential Limassol catchment, not a copy of downtown Leontiou specialty coffee.",Medium
CYP,Limassol,Mesa Geitonia,Suburban Limassol families; commuters,Greek Cypriot majority; some expats,Mid-range,30s-50s families,None nearby,Residential evenings; weekday commute,Orthodox fasting in season,Everyday halloumi and yoghurt; weeknight veg; family meat; daily bread,"Mesa Geitonia sits between Limassol Central and Agios Athanasios. In range of those stores. Family grocery, not old-town tourist SKUs.",Medium
CYP,Limassol,Ypsonas,West-Limassol families; industrial-area workers,Greek Cypriot majority,Mid-range to budget,30s-50s family-heavy,None nearby,Residential evenings; industrial weekday peaks,Orthodox fasting in season,Value dairy; Polemidia-style produce; souvla meat; KEAN; pantry staples,Ypsonas is in range of Limassol West (Dilou). Treat as a residential/west family catchment. Do not copy Central craft coffee or wine depth.,Medium
CYP,Nicosia,Strovolos,Dense suburban Nicosia families,Greek Cypriot majority,Mid-range,30s-50s families; school-age children,None nearby,School-run peaks; evening family cooking,Orthodox fasting in season,Volume halloumi and yoghurt; weeknight veg; family meat; daily bread; KEAN juices,Strovolos is the large suburb behind Parissinos (Archangelou Ave). In range of that store. Volume family grocery. Leave Pivo and Utu to Nicosia Central.,Medium-High
CYP,Nicosia,Engomi,West-Nicosia residents; some professionals,Greek Cypriot majority; smaller expat mix than Limassol,Mixed to mid-range,30s-50s,University of Nicosia / UNIC nearby; some student demand,Residential evenings; campus-adjacent daytime,Orthodox fasting in season; some vegetarian student demand,Everyday dairy; international student pantry; family meat; bread; KEAN,Engomi is in range of Nicosia Central and Parissinos. A west-capital residential catchment with a student edge from UNIC. Not a separate store.,Medium
CYP,Nicosia,Lakatamia,Southwest Nicosia families,Greek Cypriot majority,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekend family peaks,Orthodox fasting in season,Village-style halloumi; family meat; produce; trahana; daily bread,Lakatamia is in range of Parissinos / Nicosia Central. Family catchment southwest of the capital. Do not range as a tourist or office store.,Medium
CYP,Nicosia,Aglantzia,East-Nicosia families; some university-adjacent residents,Greek Cypriot majority,Mid-range,30s-50s; some students,University of Cyprus campus is closer than Central; student presence is real but not the only driver,Residential evenings; campus daytime nearby,Orthodox fasting in season,Family dairy; produce; student convenience; bread; not a full Nicosia Central specialty set,"Aglantzia is in range of Nicosia Central. East-capital residential with a University of Cyprus tilt. Keep specialty coffee and Pivo on the Digeni Akrita store, not as the lead here.",Medium
CYP,Larnaca,Aradippou,Larnaca-district families; inland town,Greek Cypriot majority; fewer tourists than Larnaca town,Mid-range,30s-50s family-heavy,None nearby,Residential; weekend family peaks,Orthodox fasting in season,Family dairy; inland produce; souvla meat; KEAN; not a full seafood-tourist set,Aradippou is in range of Larnaca Central. Inland family town. Seafood depth stays on the Thessalonikis Ave store; this catchment wants family staples.,Medium
CYP,Larnaca,Livadia,Coastal Larnaca families; some summer visitors,Greek Cypriot majority,Mixed,30s-50s families; mixed-age summer lift,None nearby,Residential year-round; sharper summer evenings,Orthodox fasting in season,Fish for weeknights; halloumi; citrus; KEAN; BBQ in summer,"Livadia is in range of Larnaca Central, on the coast north of town. A residential/summer-lift catchment, not a second seafood warehouse.",Medium
CYP,Paphos,Geroskipou,West-coast residents; day visitors to the PGI sweet shops,Greek Cypriot residents; tourist mix in shop hours,Mixed,Families year-round; mixed-age visitors,None nearby,Daytime visitor peak at sweet shops; residential evenings,None dominant,Loukoumi Geroskipou PGI; village halloumi; west-coast fruit; Aphrodite Delights as grocery not only a tin,Geroskipou is in range of the Paphos (Ellados Ave) store. This is the PGI loukoumi town. Range those sweets as grocery plus residential staples. Not a separate dark store.,High
CYP,Paphos,Kato Paphos,Holiday-home owners; tourists; harbour/hospitality workers,British and Northern European holiday-home community; Greek Cypriot residents; summer visitors,Premium in summer; quieter mid-range off-season,50s-70s long-stay visitors; 20s-40s hospitality; families in summer,None nearby,Quiet winter; high summer harbour and self-catering demand,None dominant; British pantry comforts alongside Cypriot BBQ,Grilling halloumi; Aphrodite Rock beer; Beanhaus beans; wine; salad veg; British pantry; water,"Kato Paphos is in range of Ellados Ave. Holiday-home and harbour demand. Winter ranging should shrink to residents, same as the Paphos store brief.",Medium-High
CYP,Ammochostos,Paralimni,Paralimni families; free Famagusta-coast residents; summer visitors,Greek Cypriot including 1974 Famagusta displaced families; summer visitor mix,Mixed to premium in summer; quieter mid-range off-season,Families year-round; mixed-age summer visitors,None nearby,Quiet winter; high summer daytime and BBQ demand,None dominant,Day-boat fish; grilling halloumi; salad veg; KEAN and water; koupes,"The Wolt Market Ammochostos store is physically on 1st April 49, Paralimni. This neighbourhood is the town around that store, not a second warehouse. Range east-coast family grocery plus a summer BBQ/beach lift.",High
CYP,Paralimni,Paralimni,Paralimni families; free Famagusta-coast residents; summer visitors,Greek Cypriot including 1974 Famagusta displaced families; summer visitor mix,Mixed to premium in summer; quieter mid-range off-season,Families year-round; mixed-age summer visitors,None nearby,Quiet winter; high summer daytime and BBQ demand,None dominant,Day-boat fish; grilling halloumi; salad veg; KEAN and water; koupes,Live Wolt Market store (listed in WM as Ammochostos) is in Paralimni. Same catchment as the Ammochostos city view. Use this city name if that is how local CMs search.,High
CYP,Ammochostos,Protaras,Summer tourists; holiday lets; a small year-round base,Greek Cypriot residents; sharp Northern European visitor mix in summer,Premium in summer; much quieter mid-range off-season,Mixed-age beach visitors in summer; older winter residents few,None nearby,Quiet winter; very high summer day-beach demand,None dominant,Water and ice; BBQ and salad veg; beer; day-boat fish; grill halloumi; beach snacks,"Protaras is in range of the Paralimni / Ammochostos store. Summer-engine coast, similar to Ayia Napa. Winter ranging should shrink hard. Not a separate dark store.",Medium-High
CYP,Germasogeia,Germasogeia,East-Limassol residents; some tourists along the tourist strip,Greek Cypriot majority; Russian/expat mix toward the coast,Mixed to premium on the coast; mid-range inland,30s-50s families inland; mixed-age visitors on the strip,None nearby,Residential evenings; tourist-strip daytime in season,Orthodox fasting in season,Laiki-quality produce; grilling halloumi; KEAN; family meat; short specialty-coffee set,"Germasogeia is in range of Limassol Central / Agios Athanasios, not a separate dark store. East-Limassol families plus a tourist-strip edge. Range like a residential Limassol catchment, not a copy of downtown Leontiou specialty coffee.",Medium
CYP,Mesa Geitonia,Mesa Geitonia,Suburban Limassol families; commuters,Greek Cypriot majority; some expats,Mid-range,30s-50s families,None nearby,Residential evenings; weekday commute,Orthodox fasting in season,Everyday halloumi and yoghurt; weeknight veg; family meat; daily bread,"Mesa Geitonia sits between Limassol Central and Agios Athanasios. In range of those stores. Family grocery, not old-town tourist SKUs.",Medium
