Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Press Mentions,Selection Rationale,Photo URL,Photo Source
MLT,Valletta,Bakery,Focacceria Dal Pani,Artisanal long-fermentation doughs and premium fillings,Valletta,35.8989,14.5146,4.9,61,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g190328-d26678572-Reviews-Focacceria_Dal_Pani-Valletta_Island_of_Malta.html,Tripadvisor top-rated,Highest-rated artisanal focaccia with long-fermentation techniques,N/A,N/A
MLT,Valletta,Bakery,Old Bakery's Kitchen,Traditional baked goods and pastries,Valletta,35.8989,14.5146,4.5,292,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g190328-d13338522-Reviews-Old_Bakery_s_Kitchen-Valletta_Island_of_Malta.html,Tripadvisor featured,Established artisanal bakery with strong local loyalty,N/A,N/A
MLT,Valletta,Bakery,Borg Bakery,Maltese bread and traditional pastries,Valletta,35.8989,14.5146,2.3,150,N/A,N/A,https://www.yellow.com.mt/borg-bakery/bakeries/,Local heritage shop,Historic Valletta bakery specializing in pastizzi and traditional Maltese bread,N/A,N/A
MLT,Valletta,Coffee Roastery,Lot Sixty One Coffee Roasters,High-quality organic fair-trade roasted coffee beans,Valletta,35.8989,14.5146,4.7,N/A,424,N/A,https://www.instagram.com/explore/locations/222419755200666/malta/san-giljan/lot-sixty-one-coffee-roasters-malta/,European Top 50 Coffee Shops,Specialty roastery featured in top 50 European coffee shops,N/A,N/A
MLT,Valletta,Coffee Roastery,Coffee Circus Lisboa,High-quality coffee beverages with artisanal preparation,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,N/A,Local specialty coffee house in heritage terraced building,N/A,N/A
MLT,Valletta,Delicatessen,Is-Suq Tal-Belt Arkadia Market,"Artisanal charcuterie, fresh produce, wines, craft beers",Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,https://issuqtalbelt.com/,Local media coverage,Premium food hall in restored 19th-century heritage building with curated artisanal vendors,N/A,N/A
MLT,Valletta,Delicatessen,Charcuterie Suzanne,Fine cheeses and handcrafted hams and salamis,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,https://charcuteriesuzanne.com/,N/A,Specialized artisanal delicatessen with exclusive European products,N/A,N/A
MLT,Valletta,Delicatessen,Matteo's Delicatessen,Maltese and Italian panini and specialty groceries,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,https://matteos-delicatessen.square.site/,N/A,Family-run Italian-Maltese delicatessen with artisanal offerings,N/A,N/A
MLT,Valletta,Butcher Shop,Meats & Eats,Organic free-range and halal meats,Valletta,35.8989,14.5146,N/A,N/A,13019,N/A,https://meatsandeats.com.mt/,Yellow Malta directory,Gourmet organic butcher with local loyalty and ethical sourcing,N/A,N/A
MLT,Valletta,Brewery,Lord Chambray Brewery,Craft beer production and seasonal releases,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,Local media,First craft brewery in Malta with British influence and experimental brews,N/A,N/A
MLT,Valletta,Brewery,67 Kapitali,Craft beer bar with 11 taps and curated selection,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,Local guides,Specialty craft beer venue near Carmelite Oratory with international selection,N/A,N/A
MLT,Valletta,Brewery,Wild Honey Beer Bar,Craft beer selection with local and international brews,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,Local guides,Craft beer bar with 120+ bottles and cans curated for connoisseurs,N/A,N/A
MLT,Valletta,Soft Drinks,Kinnie Malta,Bitter-sweet orange and herbal soft drink brand,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,Brand heritage,Local heritage Maltese soft drink produced by Farsons,N/A,N/A
MLT,Valletta,Soft Drinks,Farsons Cask,Premium craft beverages and artisanal syrups,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,National brand,Maltese producer of artisanal craft liqueurs and beverages,N/A,N/A
MLT,Valletta,Local Snacks,Tad-Dulcier,Homemade cakes pastries and light snacks,Valletta,35.8989,14.5146,N/A,N/A,N/A,N/A,N/A,Local guides,Artisan bakery café with homemade pastries and local following,N/A,N/A
MLT,Burmarrad,Coffee Roastery,Lot61 Coffee Roasters,High-quality organic fair-trade roasted coffee beans,Burmarrad,35.8944,14.3578,N/A,N/A,424,N/A,https://lot61.com.mt/,European top 50 coffee shops,Specialty coffee roaster roasting twice weekly at Hard Rocks Business Centre facility,N/A,N/A
MLT,Burmarrad,Local Snacks,Bankok Quality Products,Nuts dried fruits legumes and quality snacks,Burmarrad,35.8944,14.3578,N/A,N/A,N/A,N/A,https://www.bankokproducts.com/,Established 1989,Long-established supplier of premium nuts and dried fruits distributed across Malta,N/A,N/A
MLT,Burmarrad,Delicatessen,Wolt Market Burmarrad,Fresh sliced meats and general groceries,Burmarrad,35.8944,14.3578,N/A,N/A,N/A,N/A,https://wolt.com/en/mlt/malta/venue/wolt-market-burmarrad,Local market directory,Community food market offering fresh meats and local grocery selections,N/A,N/A
MLT,Burmarrad,Delicatessen,The Convenience Shop Burmarrad,Convenience groceries local products and fresh bread,Burmarrad,35.8944,14.3578,N/A,N/A,N/A,N/A,N/A,Local business directory,Convenience store open 7 days with local product sourcing,N/A,N/A
MLT,Burmarrad,Local Snacks,Tuck A Bag Confectionery & Daily Needs,Confectionery and daily essentials,Burmarrad,35.8944,14.3578,N/A,N/A,N/A,N/A,N/A,Local directory,Small confectionery and daily needs shop serving community,N/A,N/A
MLT,Qormi,Bakery,Emanuel's Bakery,Traditional Maltese bread and ftira,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,https://emanuelsbakerymalta.com/,Local heritage,Historic bakery established 1968 producing authentic Maltese bread daily,N/A,N/A
MLT,Qormi,Bakery,Paul Ta' Kalc Bakery,Fresh bread and Maltese baked goods,Qormi,35.8844,14.3594,4.7,N/A,N/A,N/A,https://www.yellow.com.mt/paul-ta-kalc-bakery_bakeries+qormi/,Local guides,24/7 operating bakery with consistent fresh bread production,N/A,N/A
MLT,Qormi,Bakery,Pinto Caterers,Traditional pastizzi and baked products,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,https://www.facebook.com/pintopastizzi/,Local media,Established supplier of traditional Maltese pastizzi and catering,N/A,N/A
MLT,Qormi,Butcher Shop,La Boucherie,Fine quality meats at wholesale prices,Qormi,35.8844,14.3594,4.8,N/A,3977,1437,https://laboucherie.mt/,Local business guide,Premium butcher with strong social media engagement,N/A,N/A
MLT,Qormi,Butcher Shop,Mc.Butcher,Fresh and quality meat products,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,https://www.facebook.com/Mc.ButcherFreshisBest35699211485,Local directory,Community butcher serving Qormi residents,N/A,N/A
MLT,Qormi,Butcher Shop,Adrian's Butcher,Artisanal meat products,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,https://www.facebook.com/adrianfalzonbutcher,Local business,Independent family butcher shop,N/A,N/A
MLT,Qormi,Delicatessen,Deli and Co,Artisan bread and gourmet delicatessen,Qormi,35.8844,14.3594,N/A,N/A,2119,N/A,https://linktr.ee/deliandco.mt,Local media,Artisanal bread bakery combined with premium cured meats and cheese,N/A,N/A
MLT,Qormi,Coffee Roastery,TOMA Kafe Bar,Fresh coffee and locally-sourced food,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,https://www.facebook.com/tomakafebar/,Local guides,Coffee bar featuring ingredients sourced from local fields,N/A,N/A
MLT,Qormi,Local Snacks,Qormi Weekly Market,Fresh produce and local food items,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,N/A,Local community,Community Saturday market with seasonal produce and local snacks,N/A,N/A
MLT,Qormi,Fruits & Vegetables,Farmers' Central Cooperative Society,Fresh local produce and farming products,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,N/A,Cooperative directory,Farmers cooperative including Qormi producers,N/A,N/A
MLT,Qormi,Delicatessen,Wolt Market Qormi,Community food market and groceries,Qormi,35.8844,14.3594,N/A,N/A,N/A,N/A,https://wolt.com/en/mlt/malta/venue/wolt-market-qormi,Online marketplace,Community-focused food market with fresh produce and meats,N/A,N/A
MLT,San Gwann,Bakery,Golden Harvest Manufacturing Co Ltd,Bakery confectionery ice cream and gluten-free products,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://goldenharvest.com.mt/,Family heritage 1946,Third-generation family bakery relocated to state-of-the-art San Gwann facility,N/A,N/A
MLT,San Gwann,Bakery,The Happy Baker,Home baked goods and savory meals made naturally,San Gwann,35.8794,14.4319,N/A,N/A,3248,N/A,https://www.facebook.com/thehappybakermalta/,Local community,Natural homemade bakery with fresh baked goods and savory dishes,N/A,N/A
MLT,San Gwann,Bakery,Her Majesty's Bakery,40 types of bread baked daily,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://www.facebook.com/hermajestysbakery/,Local guides,Artisanal bakery with extensive daily bread selection,N/A,N/A
MLT,San Gwann,Butcher Shop,Highway Butcher,Specialty meats including bragioli and marinated products,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://www.maltabusinessbook.com/en/directory/listings/6458/meat-products/highway-butcher-malta.htm,Local heritage,Family-run butcher established 1985 with quality meats and friendly service,N/A,N/A
MLT,San Gwann,Butcher Shop,Wentworth Butcher,Premium meat with online ordering and delivery,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://wentworthbutcher.com/,Local business,Premium quality meat delivery service across Malta,N/A,N/A
MLT,San Gwann,Delicatessen,Akdeniz International Mini Market & Butcher,International and local products and meats,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,N/A,San Gwann Connect,Specialty international market with diverse product selection,N/A,N/A
MLT,San Gwann,Coffee Roastery,Emma's Kitchen,Artisanal coffee and breakfast items,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://www.emmaskitchen.com.mt/,Local guides,Modern bistro founded 2016 by architect with passion for food,N/A,N/A
MLT,San Gwann,Coffee Roastery,Da Roberto,Sicilian coffee and fresh pastries,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://www.facebook.com/darobertoilgustodellisola/,Local community,Sicilian cafeteria with daily homemade cakes and specialty coffee,N/A,N/A
MLT,San Gwann,Delicatessen,Wolt Market San Gwann,Community food market and groceries,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://wolt.com/en/mlt/malta/venue/wolt-market-san-gwann,Online platform,Local food market with fresh produce and provisions,N/A,N/A
MLT,San Gwann,Local Snacks,The Convenience Shop San Gwann,Local products fresh bread and groceries,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,N/A,Local directory,Community convenience store open 7 days with locally-sourced products,N/A,N/A
MLT,San Gwann,Delicatessen,SaveMart San Gwann,Supermarket with bakery meat and delicatessen sections,San Gwann,35.8794,14.4319,N/A,N/A,N/A,N/A,https://savemart.com.mt/,Local business,Three-floor supermarket with comprehensive food and produce selection,N/A,N/A
