Country,Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
GRC,Akis Petretzikis / @akis_petretzikis,Instagram / YouTube / TikTok,1900000,Greek home cooking and food tours,Everyday Greek recipes; olive oil; pies; regional products,https://akispetretzikis.com/en/the-chef/bio
GRC,Petros Maounatzis / @petros_maounatzis,Instagram / TikTok,400000,Short-form Greek recipes from Kavala,Traditional dishes; easy home SKUs,https://www.instagram.com/petros_maounatzis/
GRC,Paxxi / @paxxigr,Instagram / YouTube / TikTok,244200,Easy Greek recipes that work,Weeknight cooking; pantry products,https://www.instagram.com/paxxigr/
GRC,Dina Nikolaou / @dina.nikolaou,Instagram / TV,238100,Greek chef (Athens / Paris),Seasonal Greek produce; olive oil; cheese,https://www.instagram.com/dina.nikolaou/
GRC,Julie Bouza / @julie_bouza,Instagram,206100,Family recipes and lunchboxes,Family grocery; kids snacks; weeknight cooking,https://www.instagram.com/julie_bouza/
GRC,Lambros Vakiaros / @iamvakiaros,Instagram,141700,Technique-led home cooking,Better olive oil; produce; pantry upgrades,https://www.instagram.com/iamvakiaros/
GRC,Diane Kochilas / @dianekochilas,Instagram / TV,128200,Greek regional cooking; Ikaria / Athens,Island pantry; pulses; olive oil; herbs,https://www.instagram.com/dianekochilas/
GRC,Food Stories Skg / @foodstoriesskg,Instagram,108300,Thessaloniki food vlog,Bougatsa; northern grocery; where-to-eat product cues,https://www.instagram.com/foodstoriesskg/
GRC,Fotini Gazi / @real_greek_recipes,Instagram,82400,Traditional Greek home cooking,Classic dishes; olive oil; feta; rusks,https://www.instagram.com/real_greek_recipes/
GRC,Gastronomos magazine,Magazine / Website,N/A,Kathimerini food monthly,Producers; PDO cheese; olive oil; regional food,https://www.gastronomos.gr/
GRC,Athinorama Food,Magazine / Website,N/A,Athens food and drink listings,Specialty coffee; bakeries; new grocery formats,https://www.athinorama.gr/
GRC,Greek Gastronomy Guide,Website,N/A,Producer and regional food guide,Named dairies; wineries; bougatsa; markets,https://www.greekgastronomyguide.gr/en/
GRC,Taf Coffee / cafetaf.gr,Website / Instagram,N/A,Athens specialty roasting,Whole-bean; filter coffee; cold brew,https://cafetaf.gr/en/
GRC,The Underdog / underdog.gr,Website / Instagram,N/A,Thissio specialty roasting,Retail bags; championship coffee,https://www.underdog.gr/
GRC,KUDU Coffee / kudu.gr,Website / Instagram,N/A,North-Athens roasting,Specialty beans; home brew,https://kudu.gr/
GRC,KORA Bakery / korabakery.com,Website / Instagram,N/A,Athens sourdough,Sourdough; long ferment; viennoiserie,https://www.korabakery.com/en/
GRC,Noctua Microbrewery / noctua.gr,Website,N/A,Athens craft beer,Craft beer; cans; microbrewery,https://www.noctua.gr/
GRC,Voreia / Siris Brewery,Website,N/A,Northern Greece craft beer,Voreia; unpasteurised beer,https://www.sirisbrewery.com/en/
GRC,Manousakis Winery,Website,N/A,Chania organic wine,Cretan wine; Nostos; indigenous grapes,https://www.manousakiswinery.com/
GRC,Lyrarakis Winery,Website,N/A,Heraklion indigenous wines,Vidiano; Dafni; Plyto; Cretan wine,https://lyrarakis.com/en/about
GRC,Tentoura Castro / Castro Spirits,Website,N/A,Patras tentoura,Tentoura; Patras liqueur,http://www.castro-spirits.gr/en/history
