Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
Emily / @miss___jones,Instagram / TikTok,484965,Lifestyle and wellness food,Health journey and food experiences,https://www.instagram.com/miss___jones/
FoodBlog Malta / @foodblog.mt,Instagram,35000,Food reviews and restaurant discoveries,Local restaurants and Maltese cuisine,https://www.instagram.com/foodblog.mt/
Brunch & Beyond / @brunchandbeyond.mt,Instagram,6936,Brunch and dining experiences,Contemporary brunch trends and daily dining,https://www.instagram.com/brunchandbeyond.mt/
Amore Mio Pizzeria / @amoremio.mt,Instagram,1792,Artisanal pizza and Italian cuisine,Fresh pizza and authentic Italian ingredients,https://www.instagram.com/amoremio.mt/
Sean Gravina / @seangravina,Instagram,40000,Maltese cuisine and fine dining,Traditional and contemporary Maltese dishes,https://www.instagram.com/seangravina/
Aaron Degabriele / @aarondegabriele_chef,Instagram / YouTube,N/A,Maltese fusion cuisine and cooking,Innovative Maltese-Italian fusion,https://aaronskitchenvalletta.com/
FOOD N BAKE / @foodandbakemalta,YouTube,N/A,Cooking and baking tutorials,Mediterranean recipes and artisan baking,https://www.youtube.com/c/FOODnBAKE
Pippa Mattei / @pippamattei,Instagram,N/A,Traditional Maltese cooking,Authentic Maltese recipes and food heritage,N/A
Nikki / @nikkivegan.malta,Instagram / TikTok,N/A,Vegan and plant-based recipes,Plant-based meals and healthy snacks,N/A
Maltese Foodie / @maltesefoodies,Instagram,N/A,Authentic Maltese cuisine blogging,Local dishes and culinary traditions,N/A
Ch-EAT Malta / @cheateringmalta,Blog / Instagram,N/A,Food reviews and original recipes,Maltese recipes and contemporary dishes,https://www.cheateringmalta.com/
Taste Recipes Malta / @tasterecipesmalta,Blog / Instagram,N/A,Traditional and modern Maltese recipes,Authentic Maltese cooking,N/A
Mariah Morgan / @marrssy,Instagram / TikTok,N/A,Pastry and baking tutorials,Artisan pastries and Maltese sweets,https://www.instagram.com/marrssy/
Christabelle / @christabelleofficial,Instagram,47649,Food and lifestyle content,Contemporary dining and food trends,https://www.instagram.com/christabelleofficial/
Bigman / @bigmanyus,Instagram,7296,Food reviews and restaurant experiences,Local dining and food discoveries,https://www.instagram.com/bigmanyus/
Paulina / @pauliinaxoxo,Instagram,6567,Lifestyle and food content,Food experiences and dining trends,https://www.instagram.com/pauliinaxoxo/
Emerson Muscat / @emersonmuscat,Instagram / TikTok,203000,Lifestyle and fashion with food elements,Trendy dining and lifestyle experiences,https://www.instagram.com/emersonmuscat/
Geraldine / @thehealthymalteser,Blog / Instagram,N/A,Healthy Mediterranean recipes,Balanced nutrition and local ingredients,N/A
Malta Foodie Reviews / @maltafoodie,Instagram,N/A,Restaurant and food reviews,Local restaurant recommendations,N/A
Kitchen 22 / @kitchen22malta,YouTube,N/A,Mediterranean cooking tutorials,Traditional Mediterranean recipes,https://www.youtube.com/c/Kitchen22
Veggy Malta / @veggymalta,Instagram,N/A,Vegan and vegetarian content,Plant-based ingredients and recipes,N/A
Flavours for Health / @flavoursforhealth,Blog / Instagram,N/A,Healthy eating and nutrition,Mediterranean health trends,https://www.flavoursforhealth.com/
Maltese Cuisine / @maltesecuisine,YouTube,N/A,Traditional Maltese cooking videos,Authentic Maltese dishes and techniques,N/A
Jon Camilleri Ch-EAT / @joncamilleri,Instagram,N/A,Food and VFX content creation,Original recipes and Maltese traditions,N/A
Tommy Kok / @tommykok,TikTok,N/A,Lifestyle and culinary vlogs,Daily food adventures and dining,N/A
