Country,Query,Searches
AZE,rexona?utm_source=tiktok,19416
AZE,rexona,17656
AZE,rexona?utm_source=meta,14441
AZE,cola,6959
AZE,elidor,5828
AZE,sirab,5816
AZE,terea,5751
AZE,dondurma,5244
AZE,su,4687
AZE,pendir,3910
AZE,lays,3446
AZE,çörək,3413
AZE,yumurta,2963
AZE,kinder,2926
AZE,qaymaq,2830
AZE,salfet,2605
AZE,süd,2575
AZE,хлеб,2224
AZE,corek,2196
AZE,magnum,2164
AZE,limon,2014
AZE,sud,1894
AZE,pomidor,1890
AZE,winston,1879
AZE,sobranie,1801
AZE,xiyar,1748
AZE,toyuq,1721
AZE,red,1693
AZE,milla,1673
AZE,tum,1671
AZE,fairy,1662
AZE,сыр,1649
AZE,ayran,1633
AZE,xama,1608
AZE,kartof,1573
AZE,qatıq,1555
AZE,un,1526
AZE,fanta,1518
AZE,sprite,1493
AZE,молоко,1479
AZE,banan,1479
AZE,kotex,1459
AZE,вода,1413
AZE,творог,1411
AZE,pepsi,1402
AZE,yağ,1398
AZE,fuse,1397
AZE,protein,1325
AZE,sabun,1310
AZE,labne,1231
AZE,cips,1225
AZE,kola,1211
AZE,kofe,1210
AZE,qatiq,1198
AZE,яйца,1157
AZE,zeytun,1152
AZE,sleepy,1148
AZE,yag,1144
AZE,ariel,1141
AZE,tualet,1138
AZE,pringles,1137
AZE,coca,1130
AZE,redbull,1122
AZE,barilla,1095
AZE,yogurt,1088
AZE,kolbasa,1082
AZE,milk,1081
AZE,kəsmik,1076
AZE,çay,1062
AZE,buldak,1061
AZE,duz,1057
AZE,domestos,1052
AZE,milka,1028
AZE,lavaş,1015
AZE,bizon,1009
AZE,сметана,1007
AZE,doritos,981
AZE,zibil,951
AZE,grabstar,945
AZE,cola zero,941
AZE,water,919
AZE,selpak,911
AZE,file,910
AZE,makaron,898
AZE,mayonez,886
AZE,kent,885
AZE,red bull,875
AZE,bread,873
AZE,fuse tea,872
AZE,масло,859
AZE,tomat,834
AZE,tuna,834
AZE,grab,830
AZE,düyü,829
AZE,şəkər,818
AZE,siqaret,806
AZE,sa,805
AZE,çör,797
AZE,nutella,796
AZE,tere,777
AZE,sobra,774
AZE,exponenta,771
AZE,чипсы,770
AZE,qat,764
AZE,durex,762
AZE,persil,758
AZE,zero,752
AZE,сливки,744
AZE,bravo,740
AZE,салфетки,736
AZE,dondur,733
AZE,мороженое,730
AZE,smetan,710
AZE,kefir,709
AZE,soğan,708
AZE,oreo,708
AZE,wins,701
AZE,ice,696
AZE,kesmik,696
AZE,йогурт,686
AZE,sosis,679
AZE,haribo,651
AZE,rolton,651
AZE,qar,646
AZE,alma,634
AZE,xirdalan,625
AZE,pivə,619
AZE,sogan,618
AZE,кола,616
AZE,don,613
AZE,ploom,612
AZE,ice cream,609
AZE,badamli,595
AZE,greek,592
AZE,always,589
AZE,buz,584
AZE,col,583
AZE,şokolad,582
AZE,coca cola,582
AZE,lipton,581
AZE,borjomi,570
AZE,dove,563
AZE,pampers,562
AZE,lava,557
AZE,salfetka,554
AZE,chips,552
AZE,bombbar,552
AZE,diş,550
AZE,yunan,549
AZE,araz,549
AZE,huggies,547
AZE,мука,544
AZE,ma,542
AZE,dond,539
AZE,pive,538
AZE,лук,534
AZE,sarikiz,531
AZE,pinar,530
AZE,valio,528
AZE,suxari,527
AZE,sob,525
AZE,cay,522
AZE,nivea,520
