Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
SWE,Stockholm,Stockholm City,Office workers; inner-city residents; visitors,Swedish majority; strong Nordic and international mix in Norrmalm/Östermalm,Premium,20s-40s professionals and visitors,None immediate; office/tourist core rather than campus,Office and tourist traffic all day; quieter residential evenings,Vegetarian/vegan emerging; some kosher/halal pockets; oat-drink demand,Pascal beans; Vetekatten fika; Hötorget veg; Östermalm fish; not a Söderort family set,"Wolt Market Stockholm City is the centre premium store. Specialty coffee, saluhall produce and a short craft set. Family volume protein belongs in Söderort.",High
SWE,Stockholm,Solna,North-Stockholm families; Arenastaden office workers; Sundbyberg spillover,Swedish majority; mixed-income north-city; some international office mix,Mixed to premium,30s-50s families and professionals,None immediate; office parks more than campus,Arenastaden daytime; residential evenings,None dominant; oat drinks emerging among professionals,Omnipollo cans; weeknight veg; daily bread; short Pascal/Drop set; not Östermalm fish as the hero,Wolt Market Solna / Stockholm North (Hemvärnsgatan) is the north warehouse. Omnipollo (Sundbyberg) is the hyperlocal beer. Leave Hötorget and Bränneri to City/Södermalm.,High
SWE,Solna,Solna,North-Stockholm families; Arenastaden office workers; Sundbyberg spillover,Swedish majority; mixed-income north-city; some international office mix,Mixed to premium,30s-50s families and professionals,None immediate; office parks more than campus,Arenastaden daytime; residential evenings,None dominant; oat drinks emerging among professionals,Omnipollo cans; weeknight veg; daily bread; short Pascal/Drop set; not Östermalm fish as the hero,Wolt Market Solna / Stockholm North (Hemvärnsgatan) is the north warehouse. Omnipollo (Sundbyberg) is the hyperlocal beer. Leave Hötorget and Bränneri to City/Södermalm.,High
SWE,Stockholm,Söderort,South-Stockholm families; Årsta residents,Swedish majority; mixed-income inner-south,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,None dominant,Daily bread; family meat; cooking veg; short Drop Coffee set; not a City saluhall clone,"Wolt Market Söderort (Svärdlångsvägen / Årsta) is south-city family volume. Range staples. Leave Omnipollo and Östermalm fish as a short add-on, not the ranging story.",High
SWE,Söderort,Söderort,South-Stockholm families; Årsta residents,Swedish majority; mixed-income inner-south,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,None dominant,Daily bread; family meat; cooking veg; short Drop Coffee set; not a City saluhall clone,"Wolt Market Söderort (Svärdlångsvägen / Årsta) is south-city family volume. Range staples. Leave Omnipollo and Östermalm fish as a short add-on, not the ranging story.",High
SWE,Stockholm,Södermalm,Young professionals; long-stay internationals; Söder café culture,Swedish majority; large international mix; fewer families than Söderort,Mixed to premium,20s-40s,None immediate,Café daytime; late evenings,Vegan and vegetarian strong; oat-drink demand,Drop Coffee bags; Stockholms Bränneri gin; surdeg; salad veg; Omnipollo as a short set,Södermalm is in range of City and Söderort (the Södermalm warehouse is closed). This is Stockholm's specialty-coffee and craft-spirits catchment.,High
SWE,Södermalm,Södermalm,Young professionals; long-stay internationals; Söder café culture,Swedish majority; large international mix; fewer families than Söderort,Mixed to premium,20s-40s,None immediate,Café daytime; late evenings,Vegan and vegetarian strong; oat-drink demand,Drop Coffee bags; Stockholms Bränneri gin; surdeg; salad veg; Omnipollo as a short set,Södermalm is in range of City and Söderort (the Södermalm warehouse is closed). This is Stockholm's specialty-coffee and craft-spirits catchment.,High
SWE,Stockholm,Sundbyberg,Sundbyberg residents; Solna-adjacent families; craft-beer visitors,Swedish majority; small-city feel next to Stockholm,Mixed,30s-50s mixed,None nearby,Residential evenings; weekend brewery traffic,None dominant,Omnipollo; weeknight veg; daily bread; not a Södermalm coffee wall,"Sundbyberg is in range of Solna, not a fourth Stockholm warehouse. Omnipollo is the ranging lead.",Medium-High
SWE,Sundbyberg,Sundbyberg,Sundbyberg residents; Solna-adjacent families; craft-beer visitors,Swedish majority; small-city feel next to Stockholm,Mixed,30s-50s mixed,None nearby,Residential evenings; weekend brewery traffic,None dominant,Omnipollo; weeknight veg; daily bread; not a Södermalm coffee wall,"Sundbyberg is in range of Solna, not a fourth Stockholm warehouse. Omnipollo is the ranging lead.",Medium-High
SWE,Malmö,Malmö,Inner-city residents; Öresund commuters; Möllevången mix,Swedish majority; large Danish-commuter and international mix; strong Middle Eastern communities in parts of the city,Mixed to premium,20s-40s professionals; 30s-50s families,Malmö University nearby — student ranging matters,Café and market daytime; residential evenings; Öresund commute,Halal relevant in parts of the city; vegetarian/vegan emerging,Solde and Lilla Kafferosteriet bags; Hyllie cans; St. Jakobs surdeg; Saluhall produce and fish; Spirit of Hven as a short spirits set,"Wolt Market Malmö is the Öresund store. Own Skåne coffee, Hyllie beer and Öresund fish. Do not copy Stockholm Omnipollo as the lead. Halal depth where the catchment needs it.",High
