Country,Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
HUN,Street Kitchen / @streetkitchen,YouTube / Website / Instagram,394000,Hungarian recipes and restaurant reporting,Weeknight cooking; paprika; craft beer; market produce,https://www.streetkitchen.hu/
HUN,Nosalty,Website / Instagram,N/A,Hungarian recipe platform,Home cooking; pantry; seasonal veg,https://www.nosalty.hu/
HUN,Stahl Judit,TV / Books,N/A,Hungarian home cooking and baking,Weeknight recipes; baking; pantry swaps,https://www.instagram.com/stahljudit/
HUN,Magyar Konyha,Magazine / Website,N/A,Hungarian food monthly,Producers; wine; regional food,https://magyarkonyhaonline.hu/
HUN,We Love Budapest food,Website,N/A,Budapest food and bakery finds,Artizán; Pipacs; specialty coffee; markets,https://welovebudapest.com/
HUN,Casino Mocca / casinomocca.com,Website / Instagram,N/A,Budapest specialty roasting,Filter coffee; retail bags; Újbuda roast,https://casinomocca.com/
HUN,MONYO Brewing,Website / Instagram,N/A,Budapest Kőbánya craft beer,Craft beer; cans; MONYO,https://www.monyobrewing.hu/en/
HUN,Horizont Brewing,Website,N/A,Budapest Maglódi út craft beer,Horizont; IPA; KRAFT beer,https://www.horizontsorok.hu/
HUN,Pipacs Pékség / pipacspekseg.hu,Website,N/A,Óbuda organic sourdough,Kovászos kenyér; organic bakery,https://pipacspekseg.hu/
HUN,Debreczeni Sör,Website,N/A,Debrecen family lager,Debrecen beer; local lager,https://debreczenisor.hu/
HUN,SteamCraft Brewery,Website,N/A,Pécs craft beer,Pécs beer; craft cans,https://www.steamcraft.hu/
HUN,Rubin Szegedi Paprika,Website,N/A,Szeged-Szőreg paprika mill,Szegedi paprika; spice; seed oil,https://rubinpaprika.com/
HUN,Gere Villány,Website,N/A,Villány family winery,Villány wine; Pécs ranging,https://www.gere.hu/
HUN,Dining Guide Hungary,Website / Guide,N/A,Hungarian restaurants and producers,Wine; bakeries; regional food,https://www.diningguide.hu/
HUN,Mad Scientist,Website,N/A,Budapest experimental beer,Craft cans; IPA,https://madscientist.hu/
HUN,Black Sheep Micro Roastery,Website / Instagram,N/A,Debrecen roasting,Filter coffee; Debrecen bags,https://europeancoffeetrip.com/roaster/blacksheepcoffee/
HUN,Butter Brothers,Press / Instagram,N/A,Ferencváros bakery,Sourdough; viennoiserie,N/A
HUN,Bock Villány,Website,N/A,Villány estate,Villány wine; Pécs ranging,https://www.bock.hu/
HUN,Disznókő Tokaj,Website,N/A,Tokaj estate,Tokaj; Miskolc first store,https://www.disznoko.hu/
HUN,Borbás Marcsi,TV,N/A,Hungarian TV cooking,Weeknight cooking; pantry,N/A
HUN,Pannonhalmi Apátság,Website,N/A,Abbey beer and wine,Pannonhalma; Győr ranging,N/A
