Country,Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
DEU,Sallys Welt / @sallys_welt,YouTube / Instagram,2100000,German baking and home cooking,Baking ingredients; flour; seasonal cakes,https://www.youtube.com/@SallysWelt
DEU,Paul Cooks / @paulcooks,TikTok / Instagram,2500000,Ruhr food entertainment; Mettwoch,Mett; wurst; weeknight cooking,https://www.instagram.com/paulcooks/
DEU,Felicitas Then / @felicitasthen,Instagram / TV,N/A,Berlin chef; spices; Neukölln cooking,Spices; seasonal veg; Berlin Kiez food,https://felicitasthen.de/
DEU,Janka / @jankalicious,Instagram / TikTok / Blog,80000,Sustainable home cooking,Food waste; seasonal produce; pantry,https://www.jankas.blog/
DEU,Ungers Kitchen / @ungerskitchen,Instagram / YouTube / TikTok,28800,Family recipes from Rhineland-Palatinate,Family grocery; no-fix-bag cooking,https://www.ungers-kitchen.de/ueber-uns/
DEU,Bianca Zapatka / @biancazapatka,Instagram / Blog,N/A,German vegan recipes,Haferdrink; tofu; vegan bakery,https://www.instagram.com/biancazapatka/
DEU,Eat This / @eatthis_official,Instagram / Blog,N/A,German vegan cooking,Plant-based; oat; seasonal veg,https://www.instagram.com/eatthis_official/
DEU,The Barn / thebarn.de,Website / Instagram,N/A,Berlin specialty roasting,Filter coffee; single origin; retail bags,https://thebarn.de/
DEU,Five Elephant / fiveelephant.com,Website / Instagram,N/A,Kreuzberg roasting and bakery,Specialty coffee; cheesecake; direct trade,https://www.fiveelephant.com/de
DEU,Bonanza Coffee / bonanzacoffee.de,Website / Instagram,N/A,Kreuzberg roasting since 2006,Filter coffee; espresso beans,https://www.bonanzacoffee.de/
DEU,BRLO / brlo.de,Website,N/A,Berlin craft beer,Craft beer; cans; Gleisdreieck,https://brlo.de/
DEU,Braustelle Ehrenfeld / braustelle.com,Website,N/A,Cologne Ehrenfeld beer,Wiess; unfiltered Kölsch; Ehrenfeld,https://braustelle.com/brauerei/
DEU,Giesinger Bräu / giesinger-braeu.de,Website,N/A,Munich neighbourhood beer,Giesinger; Helles; Munich craft,https://giesinger-braeu.de/
DEU,Elbgold / elbgold.com,Website / Instagram,N/A,Hamburg Barmbek roasting,Elbgold; filter coffee; Hamburg,https://elbgold.com/
DEU,Man Versus Machine,Website / Instagram,N/A,Munich specialty roasting,Munich coffee; retail bags,https://www.manversusmachine.de/
DEU,Killepitsch / killepitsch.de,Website,N/A,Düsseldorf herbal liqueur,Killepitsch; Kräuterlikör,https://killepitsch.de/en/about-us/
DEU,Falstaff Germany,Magazine / Website,N/A,"German wine, beer and restaurant reporting",Wine; craft beer; producers,https://www.falstaff.de/
DEU,Slow Food Deutschland,Website,N/A,Ark of Taste and regional producers,Regional cheese; bread; vegetables,https://www.slowfood.de/
DEU,Mit Vergnügen Berlin food,Website / Instagram,N/A,Berlin food finds,Kiez coffee; bakeries; markets,https://mitvergnuegen.com/
DEU,Landgang Brauerei,Website,N/A,Hamburg craft beer,Landgang; Hamburg beer,https://www.landgang-brauerei.de/
