Country,Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
AZE,Kəmalə Kərimova / @kemalerimli82,Instagram / TikTok,506200,Home cooking and lifestyle food,Azerbaijani home recipes; qatıq; weeknight dishes,https://www.instagram.com/kemalerimli82/
AZE,Fatima Osmanli / @dadlidir.az,Instagram,366400,Cooking and grocery deals,Home recipes; product finds,https://www.instagram.com/dadlidir.az/
AZE,Nərgiz Hüseyn / @coookholic,Instagram / TikTok,381200,Food and cooking,Home baking; Azerbaijani dishes,https://www.instagram.com/coookholic/
AZE,Foodlove.az / @foodlove.az,Instagram / TikTok,448200,Food and dining in Baku,Restaurant dishes; local ingredients,https://www.instagram.com/foodlove.az/
AZE,İmhungry.az / @imhungryaz,Instagram,393900,Food and home cooking,High-engagement recipe videos,https://www.instagram.com/imhungryaz/
AZE,Baku Food Tours / @azerbaijantraveller,Instagram / Blog,N/A,Street food and wine walks,Tandir bread; qutab; bazaar stalls; local wine,https://bakufoodtours.com/
AZE,Baku Good Food Club / @baku_good_food_club,Instagram,N/A,Baku chef and dining community,Caspian fish; chef collaborations; fine-dining signals,https://www.instagram.com/baku_good_food_club/
AZE,Timur Pivkin / @chef_pivkin_timur,Instagram,N/A,Baku chef of the year circuit,Hotel and restaurant ingredient trends,https://www.instagram.com/chef_pivkin_timur/
AZE,CASA Baku / @casa_bakurestaurant,Instagram,N/A,Culinary arts centre dining,Seasonal menus; chef-driven produce,https://www.instagram.com/casa_bakurestaurant/
AZE,United Coffee Beans / @unitedcoffeebeans,Instagram,N/A,Baku specialty coffee,Whole-bean; cold brew; third-wave drinks,https://ucb.az/
AZE,SENSUM Roastery / @sensum.roastery,Instagram,N/A,Local coffee roasting,Specialty beans; White City cafe culture,https://sensum.az/en/coffee
AZE,Beerbaşa / @beerbasha,Instagram,N/A,Baku brewpub,Craft beer; grill snacks,https://beerbasha.az/
AZE,Savalan Aspi / savalan.az,Website / Instagram,N/A,Azerbaijani wine and distillates,Gabala wines; local brandy,https://savalan.az/
AZE,Chabiant / chabiant.az,Website,N/A,Ismayilli winery,Madrasa; Saperavi; pomegranate wine,https://chabiant.az/en/shops
AZE,Jalə / jale.az,Website,N/A,Gabala juices,Pomegranate juice; local nectars,https://jale.az/
AZE,sh.ziyadov / @sh.ziyadov,Instagram,N/A,Azerbaijan food creator,Local dishes and product features,https://www.instagram.com/sh.ziyadov/
AZE,Brand Chef Ağa Kərim / @brandchefaghakerim,Instagram,N/A,Azerbaijani chef content,National dishes; hospitality menus,https://www.instagram.com/brandchefaghakerim/
AZE,Nabat Ahmedova,Instagram,N/A,Azerbaijan food creator,Home cooking signals,N/A
AZE,Seri Ismayilov,Instagram,N/A,Azerbaijan food creator,Local food content,N/A
AZE,Oxu.az food coverage,News,N/A,Azerbaijani news food stories,Retail; markets; product launches,https://oxu.az/
