Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
HUN,Budapest,Buda,Buda-side professionals; District XI residents; Gellért/Sasad mix,Hungarian majority; some international professional mix on the Buda side,Mixed to premium,30s-50s professionals and families,None immediate; ELTE/BME are across the river,Residential evenings; weekday commute on Daróczi / Villányi,None dominant; vegetarian emerging among professionals,Casino Mocca bags; Buda veg; daily bread; short MONYO/Horizont set; not a Lehel market clone,Wolt Market Buda (Daróczi út) is the Buda-side store. Casino Mocca (Újbuda roast) is the coffee listing. Family volume protein belongs in Dél-Pest and Zugló.,High
HUN,Buda,Buda,Buda-side professionals; District XI residents; Gellért/Sasad mix,Hungarian majority; some international professional mix on the Buda side,Mixed to premium,30s-50s professionals and families,None immediate; ELTE/BME are across the river,Residential evenings; weekday commute on Daróczi / Villányi,None dominant; vegetarian emerging among professionals,Casino Mocca bags; Buda veg; daily bread; short MONYO/Horizont set; not a Lehel market clone,Wolt Market Buda (Daróczi út) is the Buda-side store. Casino Mocca (Újbuda roast) is the coffee listing. Family volume protein belongs in Dél-Pest and Zugló.,High
HUN,Budapest,Dél-Pest,South-Pest families; Kispest / Üllői residents,Hungarian majority; mixed-income south-east; some Serbian/South-Slav pockets along Üllői,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,None dominant; some halal along south-east axes,MONYO cans; family meat; daily bread; cooking veg; short Casino Mocca set,Wolt Market Dél-Pest (Üllői út 241) is south-Pest family volume plus Kőbánya craft beer. MONYO is the local beer. Leave Nagyvásárcsarnok tourist depth to Keleti.,High
HUN,Dél-Pest,Dél-Pest,South-Pest families; Kispest / Üllői residents,Hungarian majority; mixed-income south-east; some Serbian/South-Slav pockets along Üllői,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,None dominant; some halal along south-east axes,MONYO cans; family meat; daily bread; cooking veg; short Casino Mocca set,Wolt Market Dél-Pest (Üllői út 241) is south-Pest family volume plus Kőbánya craft beer. MONYO is the local beer. Leave Nagyvásárcsarnok tourist depth to Keleti.,High
HUN,Budapest,Keleti,Inner-east residents; Józsefváros; station-adjacent workers,Hungarian majority; mixed inner-Pest; some tourist spillover from the centre,Mixed,20s-50s mixed,None immediate,Station daytime; residential evenings,None dominant,Nagyvásárcsarnok produce and paprika; Horizont cans; Artizán kovász; not a Dél-Pest family-volume clone,Wolt Market Keleti (Kenyérmező utca) is the inner-east store. Own the Great Market Hall produce story and Horizont. Leave Óbuda sourdough as a short add-on.,High
HUN,Keleti,Keleti,Inner-east residents; Józsefváros; station-adjacent workers,Hungarian majority; mixed inner-Pest; some tourist spillover from the centre,Mixed,20s-50s mixed,None immediate,Station daytime; residential evenings,None dominant,Nagyvásárcsarnok produce and paprika; Horizont cans; Artizán kovász; not a Dél-Pest family-volume clone,Wolt Market Keleti (Kenyérmező utca) is the inner-east store. Own the Great Market Hall produce story and Horizont. Leave Óbuda sourdough as a short add-on.,High
HUN,Budapest,Lehel,Angyalföld / XIII residents; market shoppers; office spillover toward Váci út,Hungarian majority; mixed-income XIII; some international office mix toward the river,Mixed,30s-50s mixed; some young professionals,None immediate,Market daytime; residential evenings,None dominant; some halal pockets in XIII,Lehel Market produce and meat; daily bread; short craft-beer set; not a Nagyvásárcsarnok tourist wall,Wolt Market Lehel (Lehel út 12) sits on the same street as Lehel Market. Range market-quality produce. Leave MONYO as a short city set; hero beer for south-east is Dél-Pest.,High
HUN,Lehel,Lehel,Angyalföld / XIII residents; market shoppers; office spillover toward Váci út,Hungarian majority; mixed-income XIII; some international office mix toward the river,Mixed,30s-50s mixed; some young professionals,None immediate,Market daytime; residential evenings,None dominant; some halal pockets in XIII,Lehel Market produce and meat; daily bread; short craft-beer set; not a Nagyvásárcsarnok tourist wall,Wolt Market Lehel (Lehel út 12) sits on the same street as Lehel Market. Range market-quality produce. Leave MONYO as a short city set; hero beer for south-east is Dél-Pest.,High
HUN,Budapest,Zugló,Zugló families; District XIV residents; Városliget-adjacent apartments,Hungarian majority; family-heavy inner-east suburb,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,None dominant,Bosnyák market veg; daily bread; family meat; short coffee set; not a Keleti hall clone,Wolt Market Zugló (Erzsébet királyné útja) is XIV family grocery. Bosnyák piac is the produce standard. Leave Pipacs and Casino Mocca as a short add-on.,High
HUN,Zugló,Zugló,Zugló families; District XIV residents; Városliget-adjacent apartments,Hungarian majority; family-heavy inner-east suburb,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,None dominant,Bosnyák market veg; daily bread; family meat; short coffee set; not a Keleti hall clone,Wolt Market Zugló (Erzsébet királyné útja) is XIV family grocery. Bosnyák piac is the produce standard. Leave Pipacs and Casino Mocca as a short add-on.,High
