Country,Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
SWE,Tina Nordström / @Mat_tina,TV / Instagram,N/A,Swedish home cooking and TV (Hela Sverige bakar),Weeknight cooking; fika baking; seasonal produce,https://tina.se/
SWE,Leila Lindholm,TV / Books,N/A,Swedish baking and home cooking,Baking ingredients; flour; cakes,https://www.bbc.co.uk/food/chefs/leila_lindholm
SWE,Roy Fares / @royfares,Instagram / Books,N/A,Swedish pastry and café baking,Kanelbulle; chocolate; bakery ingredients,https://www.instagram.com/royfares/
SWE,Green Kitchen Stories,Blog / Instagram / Books,N/A,Vegetarian Scandinavian home cooking,Oat drinks; seasonal veg; vegetarian pantry,https://greenkitchenstories.com/
SWE,Allt om Mat,Magazine / Website,N/A,Swedish food magazine,Seasonal recipes; pantry; fika,https://www.alltommat.se/
SWE,White Guide,Website / Guide,N/A,"Nordic restaurants, cafés and bakeries",Bakeries; saluhall; specialty coffee,https://whiteguide.com/se/
SWE,Drop Coffee / dropcoffee.com,Website / Instagram,N/A,Stockholm specialty roasting,Filter coffee; retail bags; single origin,https://www.dropcoffee.com/
SWE,Da Matteo,Website / Instagram,N/A,Gothenburg roasting and bakery,Specialty coffee; sourdough; Gothenburg,https://damatteo.se/
SWE,Solde Kafferosteri / solde.se,Website,N/A,Malmö micro-roasting,Malmö coffee; retail bags,https://www.solde.se/en
SWE,Lilla Kafferosteriet,Website,N/A,Malmö specialty micro-roastery since 2006,Filter coffee; Malmö roast,https://www.lillakafferosteriet.se/
SWE,Omnipollo,Website / Instagram,N/A,Sundbyberg craft beer,Craft beer; cans; Stockholm,https://www.omnipollo.com/
SWE,Hyllie Bryggeri,Website,N/A,Malmö craft beer,Hyllie; Malmö beer; cans,https://hylliebryggeri.se/
SWE,Stigbergets Bryggeri,Website,N/A,Gothenburg craft beer,Stigbergets; IPA; west-coast beer,https://stigbergetsbryggeri.se/
SWE,Beerbliotek,Website,N/A,Gothenburg Kungssten brewery,IPA; lager; Gothenburg craft,https://beerbliotek.se/
SWE,Stockholms Bränneri,Website,N/A,Södermalm craft gin and aquavit,Gin; aquavit; canned drinks,https://www.stockholmsbranneri.com/
SWE,Spirit of Hven,Website,N/A,Öresund island distillery,Whisky; gin; aquavit; Ven,https://www.hven.com/destilleri/
SWE,Vetekatten,Website,N/A,Stockholm bakery since 1924,Kanelbulle; princess cake; fika,https://vetekatten.se/
SWE,Örebro Brygghus,Website,N/A,Örebro craft beer,Örebro beer; hantverksöl,https://www.orebrobrygghus.se/
SWE,Uppsala Brygghus,Website,N/A,Uppsala unfiltered beer,Uppsala beer; student grocery,https://uppsalabrygghus.se/
SWE,Johan & Nyström,Website,N/A,Stockholm specialty roasting,Retail bags; Länna roast,https://johanochnystrom.com/
SWE,Dugges Bryggeri,Website,N/A,Gothenburg-area craft beer,IPA; Landvetter,https://dugges.se/home/
SWE,Poppels Bryggeri,Website,N/A,Jonsered organic beer,Organic craft; Gothenburg,https://poppels.se/
SWE,Purity Distillery,Website,N/A,Skåne organic vodka and gin,Gin; vodka; Ellinge,https://puritydistillery.com/
SWE,Love Coffee Roasters,Website,N/A,Lund micro-roasting,Skåne coffee; Lund,https://lovecoffee.se/
SWE,Edward Blom,TV / Instagram,N/A,Swedish food history and Systembolaget culture,Aquavit; herring; fika pantry,N/A
