Country,Query,Searches
DEU,eis,29608
DEU,wasser,28436
DEU,eier,28291
DEU,milch,27768
DEU,brot,25431
DEU,butter,18667
DEU,cola,18644
DEU,käse,18468
DEU,tomaten,18297
DEU,gurke,16436
DEU,pizza,15104
DEU,chips,14565
DEU,salat,14103
DEU,protein,14006
DEU,toast,12815
DEU,sahne,12054
DEU,skyr,11818
DEU,feta,11040
DEU,joghurt,10888
DEU,paprika,10471
DEU,salami,9758
DEU,reis,9406
DEU,nudeln,9038
DEU,tomate,8369
DEU,lachs,8276
DEU,chicken,8118
DEU,zero,8087
DEU,parmesan,8043
DEU,pesto,7867
DEU,pasta,7854
DEU,retter,7849
DEU,apfel,7755
DEU,kaffee,7616
DEU,mais,7465
DEU,avocado,7341
DEU,frischkäse,7261
DEU,bier,7220
DEU,oliven,7159
DEU,cola zero,6733
DEU,tofu,6708
DEU,zitrone,6694
DEU,milk,6582
DEU,hack,6557
DEU,hafer,6449
DEU,brötchen,6401
DEU,kartoffel,6392
DEU,kartoffeln,6377
DEU,mayo,6330
DEU,hähnchen,6254
DEU,kokos,5839
DEU,quark,5833
DEU,kuchen,5826
DEU,bread,5813
DEU,eistee,5483
DEU,vegan,5471
DEU,eggs,5172
DEU,ei,5151
DEU,müsli,5084
DEU,ice,5046
DEU,schokolade,5015
DEU,terea,5009
DEU,hackfleisch,4990
DEU,saft,4984
DEU,zwiebel,4881
DEU,schinken,4848
DEU,more,4845
DEU,banane,4840
DEU,mehl,4827
DEU,hummus,4775
DEU,wurst,4698
DEU,nutella,4653
DEU,obst,4629
DEU,salz,4612
DEU,gouda,4572
DEU,schoko,4528
DEU,mango,4522
DEU,spinat,4499
DEU,pommes,4495
DEU,tomato,4480
DEU,alpro,4478
DEU,water,4472
DEU,burger,4401
DEU,mozarella,4381
DEU,knoblauch,4339
DEU,volvic,4322
DEU,yogurt,4265
DEU,wein,4241
DEU,kefir,4154
DEU,redbull,4127
DEU,oatly,4103
DEU,cheese,4034
DEU,mozzarella,4025
DEU,fisch,4022
DEU,toma,3868
DEU,eiswürfel,3811
DEU,ketchup,3802
DEU,fanta,3774
DEU,karto,3752
DEU,fleisch,3752
DEU,hafermilch,3749
DEU,zucker,3714
DEU,tabak,3709
DEU,zewa,3654
DEU,br,3650
DEU,red bull,3617
DEU,toiletten,3598
DEU,creme,3559
DEU,bacon,3542
DEU,avo,3541
DEU,öl,3523
DEU,spezi,3522
DEU,egg,3479
DEU,baguette,3469
DEU,lemon,3446
DEU,zwiebeln,3386
DEU,sprite,3364
DEU,rice,3331
DEU,thunfisch,3317
DEU,onion,3308
DEU,monster,3305
DEU,küchenrolle,3301
DEU,toil,3301
DEU,senf,3273
DEU,tuna,3266
DEU,halal,3256
DEU,waschmittel,3245
DEU,toilettenpapier,3242
DEU,frosta,3236
DEU,soja,3226
DEU,bohnen,3195
DEU,kinder,3172
DEU,wrap,3171
DEU,ingwer,3171
DEU,frisch,3167
DEU,popcorn,3134
DEU,gemüse,3124
DEU,honig,3108
DEU,karotten,3090
DEU,tom,3080
DEU,tomat,3080
DEU,bana,3071
DEU,schmand,3058
DEU,gurken,3058
DEU,klopapier,3007
DEU,tortilla,3005
DEU,red,2991
DEU,kakao,2965
DEU,alnatura,2948
DEU,glutenfrei,2945
DEU,tomatenmark,2945
DEU,mandel,2937
DEU,ja,2936
DEU,kekse,2930
DEU,pudding,2916
DEU,pepsi,2912
DEU,beeren,2908
DEU,yoghurt,2905
DEU,sp,2892
DEU,eisw,2882
DEU,ice cream,2850
DEU,dill,2845
DEU,linsen,2828
DEU,minze,2826
DEU,ma,2808
DEU,melone,2804
DEU,erdbeeren,2792
DEU,cheddar,2771
DEU,müll,2770
DEU,kart,2764
DEU,bio,2763
DEU,coffee,2763
DEU,sch,2755
DEU,zigaretten,2750
DEU,orange,2742
DEU,ayran,2731
DEU,toilet,2717
DEU,sa,2684
DEU,banana,2684
DEU,steak,2666
DEU,frischk,2659
DEU,deo,2653
DEU,to,2627
DEU,buldak,2614
DEU,zitronen,2614
DEU,essig,2598
DEU,corn,2579
DEU,wassermelone,2546
