Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
AZE,Baku,Baku,Office workers; bazaar shoppers; some tourists,Azerbaijani majority; Russian-speaking; smaller Iranian and Turkish shopper mix at Taza Bazaar,Mixed,30s-50s workers and families; mixed-age market visitors,None nearby; 28 May is a transit hub not a campus,Daytime bazaar and office peak; quieter residential evenings,Halal is default; none additional,Taza Bazaar lamb and offal; smoked Caspian fish; village qatıq and pendir; tandir bread; Badamlı/Sirab; sunflower seeds,"This is the original Wolt Market Baku catchment around 28 May and Taza Bazaar. Range bazaar heroes (meat, fish, dairy, dried fruit) rather than Port Baku gourmet. Treat it as the city's traditional grocery heart, not as Yasamal students or Landmark tourists.",High
AZE,Baku,Yasamal,University students; young professionals; families,Azerbaijani majority; student mix including regions of Azerbaijan; some international students at BSU,Budget to mid-range,Late teens-20s students; 30s-40s families in Yeni Yasamal,Baku State University and several institutes along Zahid Khalilov,Campus daytime; evening shared-flat cooking and late convenience,Halal is default; student vegetarian emerging,Value bread and qutab; Yeni Yasamal produce; Jalə juices; affordable chicken; ready-to-cook dolma/plov kits; energy drinks,"Yasamal is Baku's student and inner-west family belt around Wolt Market Yasamal. Prioritise value, ready-to-cook national dishes and bazaar produce. Do not copy Landmark's wine and specialty-coffee depth here.",High
AZE,Baku,Landmark,Office workers; tourists; downtown residents,Azerbaijani professionals; Russian-speaking; tourist mix around Fountain Square and Icherisheher,Premium,20s-40s office and hospitality; mixed-age visitors,None nearby; hospitality workforce instead,Office-heavy weekdays; tourist traffic all day around Nizami Street,Halal is default; some imported vegetarian demand,Specialty coffee beans; Savalan wine and distillates; tandir bread; Port Baku deli; Jalə pomegranate; gift pakhlava,"Landmark (Nizami 92 / Sabayil) is the downtown premium store. Range specialty coffee, Azerbaijani wine and gift pantry. Bazaar volume protein belongs in Baku and Nasimi, not here.",High
AZE,Baku,Binagadi,Working families; industrial-northwest residents,Strong Azerbaijani majority; fewer short-stay expats than downtown,Budget to mid-range,30s-50s family-heavy; older Soviet-housing cohort,None nearby,Residential day and evening; weekday industrial-area peaks,Halal is default,Family-pack lamb and chicken; value bread; Sirab water; everyday veg; sunflower seeds; large-pack staples,"Binagadi is northwest Baku's working-family catchment. Range volume staples and bazaar protein. Skip Landmark wine, White City coffee and tourist tandir kits.",Medium
AZE,Baku,Khalglar,Khatai families; White City new-build professionals,Azerbaijani majority in Khatai housing; more mixed professional in Ağ Şəhər,Mixed to premium,30s-50s families; 20s-40s White City professionals,None nearby,Residential evenings in Khatai; cafe and after-work demand in White City,Halal is default,UCB/SENSUM beans; Beerbaşa; Goygol brandy; split fruit (value veg + White City fruit); family chicken,Khalglar sits between Soviet Khatai housing and White City. Dual-range: value family grocery plus a short premium coffee/wine set for Ağ Şəhər. Do not treat the whole catchment as Landmark.,Medium-High
AZE,Baku,Nasimi,Inner-city families; professionals; bazaar shoppers,Azerbaijani majority; Russian-speaking; dense mixed inner-Nasimi,Mid-range,30s-50s families and workers,None nearby; close to 28 May transit,Daytime market and school-run; evening family cooking,Halal is default,Nəsimi bazaar produce and meat; village dairy; tandir bread; Sirab; family meal kits,"Wolt Market Nasimi (Imran Qasimov) is residential Nasimi, not the Taza Bazaar tourist edge. Range family grocery and local dairy. Overlap with the Baku store is real — differentiate by everyday packs versus bazaar specialists.",Medium-High
AZE,Ganja,Ganja,Regional capital families; university students; west-Azerbaijan shoppers,Azerbaijani majority; some Russian-speaking; shoppers from surrounding rayons,Mid-range (below Baku Landmark; above village shops),20s students; 30s-50s families,Ganja State University and several institutes in the city,Daytime bazaar and high-street; evening family cooking,Halal is default,Village qatıq and pendir; tandir bread; local lamb; Sirab/Badamlı; value coffee not Port Baku wine,"No live Wolt Market store yet. Ganja is Azerbaijan's second city and the natural first expansion test outside Baku: family grocery, university value, and west-region produce. Do not copy Landmark's tourist wine set. Use national AZE trends (village dairy, ready-to-cook dishes) as the starting hypothesis, then list Ganja producers before opening.",Medium
AZE,Sumqayit,Sumqayit,Industrial families; Baku-commuters; Soviet-housing residents,Azerbaijani majority; dense working-family city north of Baku,Budget to mid-range,30s-50s family-heavy; older industrial cohort,None nearby as a ranging driver,Weekday industrial peaks; evening residential cooking,Halal is default,Family-pack chicken and lamb; value bread; Sirab water; sunflower seeds; everyday veg,"No live Wolt Market store yet. Sumqayit is the industrial satellite of Baku and a volume family grocery city. Range like Binagadi, not like Landmark. Useful as a same-metro expansion once Baku catchments are stable.",Medium
AZE,Mingachevir,Mingachevir,Reservoir-city families; energy-sector workers,Azerbaijani majority; smaller regional in-migration,Mid-range,30s-50s families,Mingachevir State University; modest student set,Residential day and evening; weekend river/leisure peaks,Halal is default,Family staples; local fish where cold-chain allows; tandir; value dairy; water,"No live Wolt Market store yet. Mingachevir is a mid-size interior city. A first store would be family grocery plus a short national-dish kit set, not Baku specialty coffee.",Low
AZE,Lankaran,Lankaran,Southern agricultural town; tea and citrus belt; Iranian-border trade influence,Azerbaijani majority; Talysh community; cross-border shopper mix,Mid-range with seasonal produce wealth,Mixed-age families; older agricultural cohort,None nearby as a ranging driver,Morning produce markets; quiet evenings,Halal is default,Citrus and tea-adjacent grocery; rice; local veg; fish from the Caspian south; village dairy,"No live Wolt Market store yet. Lankaran is the southern produce capital. A dark store here should own citrus, rice and Caspian-south fish rather than Baku White City coffee.",Medium
