Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Email,Press Mentions,Selection Rationale,Photo URL,Photo Source
SWE,Stockholm,Coffee Roastery,Pascal,Specialty coffee roasted on Gävlegatan; pastry and bread from their own bakery,Stockholm City,59.3293,18.0686,N/A,N/A,N/A,N/A,N/A,N/A,Stockholm specialty-coffee reference café-roastery (Vasastan),City-store roast-at-home bags versus Gevalia. Vasastan/centre listing; keep a short set in Söderort.,N/A,N/A
SWE,Stockholm,Bakery,Vetekatten,"Classic Stockholm bakery since 1924: kardemummabullar, princess cake, daily bread",Stockholm City,59.3293,18.0686,N/A,N/A,N/A,N/A,https://vetekatten.se/,N/A,Kungsgatan institution; Stockholm fika bakery,A grocery fika SKU the City store can own versus Pågen. Not only a café counter.,N/A,N/A
SWE,Stockholm,Fruits & Vegetables,Hötorget produce,"Inner-city market fruit, herbs and cooking veg",Stockholm City,59.3293,18.0686,N/A,N/A,N/A,N/A,N/A,N/A,Stockholm's central outdoor market,City-store produce standard versus ICA loose veg. Delivery should copy market quality midweek.,N/A,N/A
SWE,Stockholm,Seafood Producers,Östermalms Saluhall fish,Baltic and North Atlantic fish from the Östermalm hall,Stockholm City,59.3293,18.0686,N/A,N/A,N/A,N/A,https://ostermalmshallen.se/,N/A,Stockholm's classic food hall,Centre-store seafood. Cold chain. Family volume fish can sit shorter in Söderort.,N/A,N/A
SWE,Stockholm,Butcher Shop,Östermalms Saluhall butchers,Counter meat and charcuterie from the hall,Stockholm City,59.3293,18.0686,N/A,N/A,N/A,N/A,N/A,N/A,Östermalms Saluhall meat counters,Centre-store protein with a hall story. Everyday volume still belongs in Söderort.,N/A,N/A
SWE,Stockholm,Brewery,Omnipollo,Experimental craft beer from the Sundbyberg church brewery,Solna,59.3615,17.9980,N/A,N/A,N/A,N/A,https://www.omnipollo.com/,N/A,Sundbyberg brewery in a former church; Stockholm craft reference,The north-Stockholm craft listing versus Spendrups/Falcon. Cold-chain cans from Solna; keep it short in Söderort.,N/A,N/A
SWE,Stockholm,Fruits & Vegetables,Solna weekly-market produce,North-city fruit and cooking vegetables,Solna,59.3615,17.9980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solna/Arenastaden weeknight veg. Leave Hötorget cheese and Östermalm fish to the City store.,N/A,N/A
SWE,Stockholm,Bakery,Solna neighbourhood bakeries,Daily bread and a short surdeg set for north-city families,Solna,59.3615,17.9980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,North-city bread volume. Hero sourdough stays Södermalm.,N/A,N/A
SWE,Stockholm,Butcher Shop,Solna neighbourhood butchers,"Chicken, pork and mince for family cooking",Solna,59.3615,17.9980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,North-store protein. This is not an Östermalm hall deli.,N/A,N/A
SWE,Stockholm,Fruits & Vegetables,Årsta / Söderort produce shops,South-city fruit and cooking vegetables,Söderort,59.2978,18.0510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Söderort weeknight veg from Svärdlångsvägen. Leave Hötorget to City; leave Södermalm café produce as a short add-on.,N/A,N/A
SWE,Stockholm,Bakery,Söderort neighbourhood bakeries,Daily bread and rolls for Årsta families,Söderort,59.2978,18.0510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,South-store bread volume. Leave Drop Coffee and Bränneri depth to Södermalm.,N/A,N/A
SWE,Stockholm,Butcher Shop,Söderort neighbourhood butchers,Family meat and mince for south Stockholm,Söderort,59.2978,18.0510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,South-store protein. Not an Östermalm hall set.,N/A,N/A
SWE,Stockholm,Coffee Roastery,Drop Coffee,"Direct-trade specialty beans; Södermalm café identity, roast north of the city",Södermalm,59.3128,18.0752,N/A,N/A,N/A,N/A,https://www.dropcoffee.com/,N/A,Stockholm roasting champion; Mariatorget café origins,Södermalm is in range of City and Söderort. The specialty-coffee listing versus Gevalia. Short set in Solna.,N/A,N/A
SWE,Stockholm,Distillery,Stockholms Bränneri,"Södermalm craft gin, aquavit and canned drinks from a former Jaguar workshop",Södermalm,59.3128,18.0752,N/A,N/A,N/A,N/A,https://www.stockholmsbranneri.com/,N/A,First craft distillery in Stockholm (2016),The Stockholm grocery gin versus only imported bottles. Range from City/Söderort; not a Solna family-aisle lead.,N/A,N/A
SWE,Stockholm,Bakery,Södermalm sourdough bakeries,Long-ferment surdeg and viennoiserie from the Söder cafés,Södermalm,59.3128,18.0752,N/A,N/A,N/A,N/A,N/A,N/A,"Södermalm bakery/café culture (Pascal, Drop, neighbourhood ovens)",Söder surdeg as grocery versus industrial toast. Short set in Söderort; daily bread stays the volume SKU there.,N/A,N/A
SWE,Malmö,Coffee Roastery,Solde Kafferosteri,Malmö micro-roastery and kaffebar since 2010 (Mejselgatan),Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,https://www.solde.se/en,N/A,Malmö specialty roasting since 2010,The Malmö roast-at-home listing versus Gevalia. Do not clone Stockholm Drop Coffee as the only story.,N/A,N/A
SWE,Malmö,Coffee Roastery,Lilla Kafferosteriet,"Sweden's first modern specialty micro-roastery, roasting in central Malmö since 2006",Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,https://www.lillakafferosteriet.se/,info@lillakafferosteriet.se,Central Malmö micro-roastery in Claes Mortensens hus,Second Malmö roast for the Öresund store. Two named roasters; skip a third.,N/A,N/A
SWE,Malmö,Brewery,Hyllie Bryggeri,"Malmö craft beer since 2015; brewery on Stormgatan, taproom on the canal",Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,https://hylliebryggeri.se/,N/A,Malmö hantverksbryggeri since 2015,The Malmö craft listing versus Spendrups. Cold-chain cans. Keep it a short set if the warehouse is family-heavy.,N/A,N/A
SWE,Malmö,Bakery,St. Jakobs Stenugnsbageri,"Stone-oven sourdough, kardemummabullar and classic Swedish pastry",Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,N/A,N/A,Malmö City / White Guide stone-oven bakery,"Malmö surdeg listing versus Pågen. Grocery loaves, not only a café plate.",N/A,N/A
SWE,Malmö,Distillery,Spirit of Hven,"Whisky, gin, vodka and aquavit distilled on the island of Ven in Öresund",Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,https://www.hven.com/destilleri/,N/A,Öresund island distillery since 2008,"The Malmö grocery spirits listing. Ven is in range of the Öresund store, not a Stockholm Bränneri clone.",N/A,N/A
SWE,Malmö,Fruits & Vegetables,Malmö Saluhall produce,"Market fruit, herbs and cooking veg from Malmö Saluhall",Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,N/A,N/A,Malmö Saluhall,Malmö produce standard versus supermarket loose veg.,N/A,N/A
SWE,Malmö,Seafood Producers,Malmö Saluhall / Öresund fish,Öresund and west-coast fish for the Malmö store,Malmö,55.6050,13.0038,N/A,N/A,N/A,N/A,N/A,N/A,Malmö Saluhall fish counters,Öresund seafood. Cold chain. Limhamn ranging should own this as much as the centre store.,N/A,N/A
SWE,Malmö,Fruits & Vegetables,Limhamn produce shops,West-Malmö fruit and cooking vegetables,Limhamn,55.5833,12.9356,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Limhamn is in range of Malmö, not a second warehouse. West-coast family veg plus Öresund fish as the ranging lead.",N/A,N/A
SWE,Örebro,Brewery,Örebro Brygghus,Örebro craft beer since 2016,Örebro,59.2741,15.2066,N/A,N/A,N/A,N/A,https://www.orebrobrygghus.se/,info@orebrobrygghus.se,Örebro microbrewery since 2016,The Örebro craft listing versus Spendrups. Do not copy Stockholm Omnipollo as the lead.,N/A,N/A
SWE,Örebro,Fruits & Vegetables,Örebro market produce,Närke fruit and cooking vegetables from the city market,Örebro,59.2741,15.2066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Örebro weeknight veg. Not a Stockholm Hötorget copy.,N/A,N/A
SWE,Örebro,Bakery,Örebro neighbourhood bakeries,Daily bread and a short surdeg set,Örebro,59.2741,15.2066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Family bread volume. Leave Södermalm sourdough fashion off this warehouse's lead.,N/A,N/A
