Country,Query,Searches
MLT,water,11904
MLT,milk,10453
MLT,bread,8340
MLT,eggs,6904
MLT,chicken,5818
MLT,ice,5508
MLT,cheese,4963
MLT,ice cream,4474
MLT,benna,3725
MLT,tuna,3416
MLT,butter,3232
MLT,ham,3212
MLT,rice,3132
MLT,pasta,3040
MLT,garlic,3038
MLT,toilet,2714
MLT,egg,2511
MLT,tomato,2505
MLT,beer,2395
MLT,coca,2392
MLT,greek,2378
MLT,banana,2338
MLT,protein,2311
MLT,pizza,2275
MLT,coke,2222
MLT,lemon,2215
MLT,chocolate,2176
MLT,onion,2088
MLT,coffee,2064
MLT,pepsi,2052
MLT,cream,1985
MLT,toilet paper,1948
MLT,bacon,1921
MLT,alpro,1853
MLT,salad,1852
MLT,wipes,1832
MLT,monster,1812
MLT,yogurt,1782
MLT,vape,1773
MLT,juice,1671
MLT,mayo,1662
MLT,chips,1661
MLT,feta,1639
MLT,wine,1610
MLT,cheddar,1587
MLT,potato,1581
MLT,kefir,1538
MLT,kinder,1535
MLT,corn,1521
MLT,sugar,1519
MLT,pesto,1491
MLT,sprite,1485
MLT,mozzarella,1450
MLT,fruit,1449
MLT,ice tea,1443
MLT,salmon,1430
MLT,cucumber,1424
MLT,cereal,1420
MLT,lettuce,1404
MLT,meat,1402
MLT,nutella,1395
MLT,sausage,1392
MLT,beef,1390
MLT,nescafe,1388
MLT,salt,1371
MLT,avocado,1354
MLT,honey,1348
MLT,noodles,1343
MLT,pepper,1309
MLT,cisk,1239
MLT,tomatoes,1222
MLT,cola,1206
MLT,frozen,1205
MLT,kinnie,1199
MLT,olives,1196
MLT,yoghurt,1182
MLT,coconut,1172
MLT,apple,1150
MLT,spinach,1148
MLT,terea,1140
MLT,oil,1114
MLT,crisps,1102
MLT,co,1098
MLT,potatoes,1096
MLT,burger,1093
MLT,shampoo,1074
MLT,flour,1056
MLT,garbage,1049
MLT,fanta,1024
MLT,fairy,1017
MLT,cake,1017
MLT,kitchen,1011
MLT,mince,1002
MLT,kristal,999
MLT,nuts,991
MLT,onions,984
MLT,basil,983
