Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Email,Press Mentions,Selection Rationale,Photo URL,Photo Source
HUN,Budapest,Coffee Roastery,Casino Mocca,"Budapest specialty roasting since 2013 (Hunyadi János út, Újbuda)",Buda,47.4785,19.0415,N/A,N/A,N/A,N/A,https://casinomocca.com/,N/A,Leading Hungarian new-wave roastery; supplies cafés nationwide but roast is Újbuda,The Buda/Újbuda roast-at-home listing versus supermarket coffee. Short set in Zugló and Dél-Pest.,N/A,N/A
HUN,Budapest,Fruits & Vegetables,Újbuda / Buda produce shops,Buda-side fruit and cooking vegetables around Daróczi út,Buda,47.4785,19.0415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buda weeknight veg. Leave Lehel Market and Nagyvásárcsarnok to Pest.,N/A,N/A
HUN,Budapest,Bakery,Buda neighbourhood bakeries,Daily bread and a short kovász set for Buda families,Buda,47.4785,19.0415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buda bread volume. Hero sourdough is Pipacs in Óbuda and Artizán on the Pest side.,N/A,N/A
HUN,Budapest,Fruits & Vegetables,Újbuda produce shops,District XI fruit and cooking veg,Újbuda,47.4730,19.0400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Újbuda is in range of the Buda warehouse (Daróczi út), not a second Buda store. Casino Mocca is the local roast.",N/A,N/A
HUN,Budapest,Brewery,MONYO Brewing,Budapest craft beer from Kőbánya (Gyömrői út); cans and taproom,Dél-Pest,47.4550,19.1470,N/A,N/A,N/A,N/A,https://www.monyobrewing.hu/en/,N/A,Budapest craft brewery since 2014; Kőbánya plant,The south-east Pest craft listing versus Dreher. Cold-chain cans from Dél-Pest (Üllői út); keep it short in Óbuda.,N/A,N/A
HUN,Budapest,Fruits & Vegetables,Dél-Pest produce shops,Kispest / south-Pest family fruit and cooking veg,Dél-Pest,47.4550,19.1470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,South-Pest weeknight veg. Leave Lehel and Nagyvásárcsarnok cheese to Lehel/Keleti.,N/A,N/A
HUN,Budapest,Bakery,Dél-Pest neighbourhood bakeries,Daily bread and rolls for south-Pest families,Dél-Pest,47.4550,19.1470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Family bread volume. Leave Pipacs/Artizán depth off this warehouse's lead.,N/A,N/A
HUN,Budapest,Butcher Shop,Dél-Pest neighbourhood butchers,"Pork, poultry and kolbász for family cooking",Dél-Pest,47.4550,19.1470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,South-store protein. This is not a Nagyvásárcsarnok tourist counter.,N/A,N/A
HUN,Budapest,Brewery,Horizont Brewing,"Budapest craft beer from Maglódi út, Kőbánya; taproom in Gozsdu",Keleti,47.5005,19.0835,N/A,N/A,N/A,N/A,https://www.horizontsorok.hu/,webshop@horizontsorok.hu,Budapest KRAFT brewery; Dublin Craft Beer Cup 2017,Inner-east craft listing versus Dreher. Pair with Nagyvásárcsarnok; MONYO stays the Dél-Pest hero.,N/A,N/A
HUN,Budapest,Fruits & Vegetables,Nagyvásárcsarnok produce,"Central Market Hall fruit, paprika, pickles and cooking veg",Keleti,47.5005,19.0835,N/A,N/A,N/A,N/A,N/A,N/A,Budapest Great Market Hall,Keleti/centre-east produce standard. Delivery should copy market quality midweek.,N/A,N/A
