code,name,latitude,longitude,zoom
AZE,Azerbaijan,40.41,49.87,11
CYP,Cyprus,34.90,33.10,8
CZE,Czech Republic,49.82,15.47,7
DEU,Germany,51.16,10.45,6
DNK,Denmark,56.00,10.20,7
EST,Estonia,58.60,25.00,8
FIN,Finland,62.00,25.50,5
GEO,Georgia,41.98,43.50,7
GRC,Greece,38.50,23.70,6
HRV,Croatia,45.10,15.20,7
HUN,Hungary,47.16,19.50,7
ISR,Israel,31.80,35.00,8
JPN,Japan,36.50,136.00,5
KAZ,Kazakhstan,48.00,68.00,5
LTU,Lithuania,55.17,23.88,8
LVA,Latvia,56.95,24.11,11
MLT,Malta,35.94,14.40,9
NOR,Norway,61.00,8.50,5
ROU,Romania,45.94,24.97,6
SRB,Serbia,44.20,20.80,7
SVK,Slovakia,48.67,19.70,8
SVN,Slovenia,46.15,14.80,8
SWE,Sweden,59.33,15.00,5
