Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Email,Press Mentions,Selection Rationale,Photo URL,Photo Source
GRC,Athens,Coffee Roastery,Taf Coffee,Direct-trade specialty beans roasted in Athens,Koukaki,37.9654,23.7198,N/A,N/A,N/A,N/A,https://cafetaf.gr/en/,N/A,Athens specialty-coffee reference roaster,Koukaki/centre roast-at-home bags versus Coffee Island. The downtown coffee listing.,N/A,N/A
GRC,Athens,Coffee Roastery,The Underdog,Championship specialty coffee roasted in Thissio,Koukaki,37.9654,23.7198,N/A,N/A,N/A,N/A,https://www.underdog.gr/,N/A,World Coffee in Good Spirits titles; Thissio flagship,"Thissio roaster for the Koukaki store's expat and visitor baskets. Retail bags, not only cafe cups.",N/A,N/A
GRC,Athens,Brewery,Noctua Microbrewery,Athens-centre craft beer (Gazi / Omonia belt),Koukaki,37.9654,23.7198,N/A,N/A,N/A,N/A,https://www.noctua.gr/,N/A,First microbrewery in central Athens (2016),The Athens craft-beer listing versus Fix/Mythos. Cold-chain cans for Koukaki; keep it short in Peristeri.,N/A,N/A
GRC,Athens,Local Snacks,Ariston,Kourou cheese pies and traditional Athens pies since 1910,Koukaki,37.9654,23.7198,N/A,N/A,N/A,N/A,N/A,N/A,Historic Voulis Street pie shop near Syntagma,A grocery pie SKU the Koukaki store can own versus chain bakeries. Not a restaurant listing.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Varvakios Central Market produce,"Athens municipal-market fruit, herbs and cooking veg",Koukaki,37.9654,23.7198,N/A,N/A,N/A,N/A,N/A,N/A,Athens central food market,Delivery can take Varvakios quality into the week for Koukaki. This is the produce standard for the centre store.,N/A,N/A
GRC,Athens,Butcher Shop,Varvakios market butchers,"Lamb, beef and village-style cuts from the central market",Koukaki,37.9654,23.7198,N/A,N/A,N/A,N/A,N/A,N/A,Athens central meat halls,Centre-store protein with a market story. Family volume still belongs in Peristeri.,N/A,N/A
GRC,Athens,Bakery,KORA Bakery,Long-ferment sourdough and viennoiserie (Kolonaki / Filothei),Ampelokipoi,37.9889,23.7506,N/A,N/A,N/A,N/A,https://www.korabakery.com/en/,N/A,Athens sourdough bakery (Kolonaki and Filothei),Ampelokipoi/Kolonaki sourdough listing versus Veneti-style chains. Short set in family stores.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Glyfada laiki,South-coast Saturday-market fruit and salad veg,Glyfada,37.8676,23.7544,N/A,N/A,N/A,N/A,N/A,N/A,Glyfada neighbourhood laiki,"Glyfada should beat supermarket salad veg. Coastal premium, not a Koukaki coffee clone.",N/A,N/A
GRC,Athens,Seafood Producers,Glyfada fish counters,Fresh fish for the south-coast catchment,Glyfada,37.8676,23.7544,N/A,N/A,N/A,N/A,N/A,N/A,South-Athens fish retail,Glyfada's ranging lead is seafood plus produce. Keep cold chain; do not make this a downtown specialty-coffee store.,N/A,N/A
GRC,Athens,Coffee Roastery,KUDU Coffee Roasters,"House-roasted specialty coffee; roasting in Likovrisi, shops in Neo Psychiko and Pagrati",Marousi,38.0548,23.8077,N/A,N/A,N/A,N/A,https://kudu.gr/,N/A,The Coffeevine / Filter Notes north-Athens roaster,North-Athens roast for Marousi/Chalandri. One producer row for the country; HQ is the north belt not Koukaki.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Marousi produce shops,Weeknight fruit and cooking vegetables for north-Athens families,Marousi,38.0548,23.8077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Office-park and family veg for Marousi. Leave Varvakios tourist-centre fruit to Koukaki.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Nea Ionia produce shops,Family fruit and cooking vegetables,Nea Ionia,38.0416,23.7578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nea Ionia is a family catchment. Range weeknight veg, not Varvakios-centre tourist fruit.",N/A,N/A
GRC,Athens,Butcher Shop,Nea Ionia neighbourhood butchers,"Chicken, pork and lamb for family cooking",Nea Ionia,38.0416,23.7578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,School-run and weekend protein. This is not a tourist store.,N/A,N/A
GRC,Athens,Bakery,Nea Ionia neighbourhood bakeries,"Daily bread, koulouri and pies",Nea Ionia,38.0416,23.7578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Daily bread volume. Leave KORA sourdough depth to Ampelokipoi.,N/A,N/A
GRC,Athens,Seafood Producers,Piraeus fish market,Day-boat and Aegean fish for the port city,Piraeus,37.9421,23.6461,N/A,N/A,N/A,N/A,N/A,N/A,Piraeus municipal fish market,Piraeus should own Attica seafood with Rafina. Sealed fresh/frozen beats sending people to the stalls.,N/A,N/A
GRC,Athens,Brewery,Piraiki Microbrewery,Piraeus craft beer,Piraeus,37.9421,23.6461,N/A,N/A,N/A,N/A,N/A,N/A,Piraeus local microbrewery,Port-city craft beer versus Fix. Short can set for Piraeus; Noctua stays the centre listing.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Piraeus produce shops,"Lemons, salad veg and everyday fruit for port households",Piraeus,37.9421,23.6461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Pair with fish. Everyday grocery, not a Koukaki specialty set.",N/A,N/A
GRC,Athens,Fruits & Vegetables,Peristeri produce shops,Family fruit and cooking vegetables,Peristeri,38.0167,23.6914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,West-Athens weeknight veg. Value over Glyfada premium salad.,N/A,N/A
GRC,Athens,Butcher Shop,Peristeri neighbourhood butchers,"Chicken, pork and lamb for family cooking",Peristeri,38.0167,23.6914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Volume protein for a dense family suburb. Not a tourist BBQ set.,N/A,N/A
GRC,Athens,Bakery,Peristeri neighbourhood bakeries,Daily bread and pies,Peristeri,38.0167,23.6914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bread volume. Leave KORA to Ampelokipoi.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Chalandri laiki and produce shops,Northeast-Athens fruit and cooking veg,Chalandri,38.0214,23.7981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chalandri premium produce to match the cafe catchment. Not a Peristeri value set.,N/A,N/A
GRC,Athens,Bakery,Chalandri neighbourhood bakeries,Daily bread and a short sourdough set,Chalandri,38.0214,23.7981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Northeast bread. A short KORA-style add-on is enough; hero coffee is Kudu.,N/A,N/A
GRC,Athens,Seafood Producers,Rafina port fish,East-Attica day-boat fish and ferry-port catch,Rafina,38.0228,24.0103,N/A,N/A,N/A,N/A,N/A,N/A,Rafina fishing port,East-Attica seafood versus Piraeus for the west port. Summer spike; quieter winter residents.,N/A,N/A
GRC,Athens,Fruits & Vegetables,Rafina / east-Attica produce,Salad veg and fruit for port and summer houses,Rafina,38.0228,24.0103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Summer BBQ salad set; winter shrinks to residents.,N/A,N/A
GRC,Thessaloniki,Coffee Roastery,Roasters Kolektiva,Thessaloniki specialty roastery; flagship roast facility in Sykies,Stavroupoli,40.6684,22.9331,N/A,N/A,N/A,N/A,N/A,N/A,TableJourney: leading Thessaloniki roastery,The north-Greece roast-at-home listing for the Stavroupoli/Kentro store. Not an Athens Taf clone.,N/A,N/A
GRC,Thessaloniki,Local Snacks,Bougatsa Bantis,"Hand-stretched bougatsa (cream, cheese, spinach, mince) since 1969",Stavroupoli,40.6684,22.9331,N/A,N/A,N/A,N/A,N/A,N/A,Greek Gastronomy Guide; third-generation Cappadocian recipe,Thessaloniki's grocery snack hero. Packaged/retail bougatsa beats treating it as eat-out only.,N/A,N/A
GRC,Thessaloniki,Brewery,Voreia (Siris Brewery),Unpasteurised craft beer from Serres for northern Greece,Stavroupoli,40.6684,22.9331,N/A,N/A,N/A,N/A,https://www.sirisbrewery.com/en/,N/A,Concours International de Lyon awards; Siris microbrewery,Thessaloniki craft-beer listing versus Mythos. Cold chain. Do not also list it as an Athens hero.,N/A,N/A
GRC,Thessaloniki,Fruits & Vegetables,Stavroupoli produce shops,West-city family fruit and cooking veg,Stavroupoli,40.6684,22.9331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,West-Thessaloniki weeknight veg. Leave seafront produce to Kalamaria.,N/A,N/A
GRC,Thessaloniki,Fruits & Vegetables,Papafi produce shops,East-of-centre fruit and cooking vegetables,Papafi,40.6152,22.9604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Papafi is the east family store. Range weeknight veg, not a full Bantis/Kolektiva story.",N/A,N/A
GRC,Thessaloniki,Butcher Shop,Papafi neighbourhood butchers,"Chicken, pork and lamb for family cooking",Papafi,40.6152,22.9604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,East-store protein. Student-adjacent but still a family catchment.,N/A,N/A
GRC,Thessaloniki,Bakery,Papafi neighbourhood bakeries,"Daily bread, koulouri and pies",Papafi,40.6152,22.9604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Daily bread. Bougatsa depth stays with Bantis on the west/centre story.,N/A,N/A
GRC,Thessaloniki,Seafood Producers,Kalamaria fish counters,Thermaikos fish for the southeast coast,Kalamaria,40.5826,22.9503,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kalamaria is in range of Papafi. Coastal fish is the listing this suburb can own.,N/A,N/A
