Country,Query,Searches
SWE,ägg,7128
SWE,mjölk,6861
SWE,ost,6419
SWE,bröd,6366
SWE,glass,4514
SWE,chips,4397
SWE,kyckling,4329
SWE,tomat,3847
SWE,potatis,3408
SWE,smör,3272
SWE,kvarg,3150
SWE,gurka,3127
SWE,cola,3061
SWE,pasta,2917
SWE,grädde,2904
SWE,snus,2838
SWE,godis,2779
SWE,korv,2679
SWE,sallad,2547
SWE,choklad,2428
SWE,gräddfil,2324
SWE,kaffe,2249
SWE,pizza,2192
SWE,pepsi,2042
SWE,kött,2017
SWE,yoghurt,1935
SWE,juice,1879
SWE,majs,1800
SWE,öl,1767
SWE,ris,1653
SWE,banan,1647
SWE,velo,1639
SWE,nudlar,1606
SWE,lök,1599
SWE,nocco,1581
SWE,redbull,1554
SWE,läsk,1544
SWE,keso,1516
SWE,protein,1512
SWE,creme,1509
SWE,skinka,1476
SWE,paprika,1419
SWE,citron,1396
SWE,toa,1387
SWE,cola zero,1378
SWE,loka,1368
SWE,lax,1339
SWE,monster,1315
SWE,taco,1312
SWE,köttfärs,1267
SWE,vitlök,1267
SWE,dipp,1221
SWE,nötfärs,1186
SWE,bacon,1165
SWE,oliver,1161
SWE,pommes,1145
SWE,köttbullar,1143
SWE,popcorn,1072
SWE,toalett,1070
SWE,kalkon,1053
SWE,frukt,1052
SWE,sås,1000
SWE,mjöl,997
SWE,feta,970
SWE,parmesan,965
SWE,grekisk,964
SWE,tvättmedel,945
SWE,havre,944
SWE,bregott,940
SWE,coca,937
SWE,jord,937
SWE,marabou,933
SWE,saft,922
SWE,grädd,920
SWE,ketchup,909
SWE,korvbröd,906
SWE,jordgubbar,897
SWE,äpple,896
SWE,is,895
SWE,sylt,863
SWE,mango,862
SWE,fanta,862
SWE,hallon,860
SWE,mino,858
SWE,tonfisk,856
SWE,blåbär,845
SWE,vatten,842
SWE,salami,835
SWE,salt,830
SWE,pesto,822
SWE,kex,821
SWE,morot,802
SWE,flingor,801
SWE,ramlösa,800
SWE,cigg,796
SWE,pepsi max,790
SWE,tortilla,783
SWE,kebab,771
SWE,nötter,769
SWE,tvål,764
SWE,vanilj,762
SWE,toapapper,749
SWE,rödlök,744
SWE,ben,731
SWE,mj,724
SWE,fisk,712
SWE,kakor,703
SWE,tomater,703
SWE,avokado,703
SWE,billys,700
SWE,toalettpapper,696
SWE,riven ost,689
SWE,lime,687
SWE,räkor,671
SWE,dill,670
SWE,coca cola,667
SWE,chili,663
SWE,red,662
SWE,kokos,657
SWE,nicks,655
SWE,tandkräm,649
SWE,oatly,635
SWE,hamburgare,633
SWE,laktosfri,632
SWE,spenat,627
SWE,honung,621
SWE,br,620
SWE,red bull,617
SWE,disk,617
SWE,celsius,614
SWE,tvätt,604
SWE,soppa,603
SWE,yo,602
SWE,bea,601
SWE,gr,597
SWE,fetaost,596
SWE,pålägg,595
SWE,zyn,593
SWE,propud,589
SWE,ky,586
SWE,socker,586
SWE,fil,582
SWE,pop,577
SWE,vape,576
SWE,morötter,569
SWE,mozzarella,559
SWE,grä,552
SWE,creme fraiche,549
SWE,granola,548
SWE,hushålls,533
SWE,katt,532
SWE,ma,532
SWE,paj,532
SWE,cig,530
SWE,falukorv,525
SWE,tårta,514
SWE,gifflar,509
SWE,sprite,506
SWE,bär,502
SWE,sköljmedel,498
SWE,kattmat,495
SWE,knäckebröd,485
SWE,senap,482
SWE,melon,480
SWE,dip,480
SWE,ka,478
SWE,glutenfri,477
SWE,halloumi,472
SWE,kaviar,470
SWE,pota,453
SWE,ch,449
SWE,tacos,449
SWE,lohilo,448
SWE,to,447
SWE,cheddar,443
SWE,zero,442
SWE,svamp,438
SWE,milk,437
SWE,vispgrädde,437
SWE,po,436
SWE,mat,436
SWE,baguette,436
SWE,pro,433
SWE,kefir,432
SWE,färs,432
SWE,basilika,430
SWE,soja,430
SWE,havregryn,424
SWE,tom,423
SWE,knäcke,422
SWE,hummus,422
SWE,camel,421
SWE,cigaretter,418
SWE,energi,417
SWE,magnum,416
SWE,potat,415
SWE,gooh,413
SWE,broccoli,408
SWE,bullar,407
SWE,brie,407
SWE,persilja,406
SWE,olja,406
SWE,ostbågar,405
SWE,lingon,400
SWE,glas,396
SWE,lakrits,395
SWE,tomatpure,394
SWE,nutella,391
SWE,musli,386
SWE,bubs,386
SWE,pringles,384
SWE,nöt,383
SWE,yog,383
SWE,apelsin,382
SWE,olivolja,380
SWE,cheese,379
SWE,makaroner,379
SWE,hushållspapper,378
SWE,mozarella,378
SWE,gurk,378
SWE,pot,377
SWE,snacks,377
SWE,phila,376
SWE,blöjor,375
SWE,sa,374
SWE,ölkorv,374
SWE,ba,370
SWE,dricka,370
SWE,diskmedel,370
SWE,toma,367
SWE,fun light,363
SWE,färdig,362
SWE,vegan,360
SWE,grönsaker,359
SWE,röd,358
SWE,ingefära,358
SWE,hårfärg,357
SWE,ket,356
SWE,fryst,356
SWE,te,356
SWE,buldak,353
SWE,majonäs,352
SWE,lasagne,352
SWE,pa,350
SWE,funlight,350
SWE,yogurt,349
SWE,tand,348
SWE,avo,348
SWE,nuggets,348
SWE,kladdkaka,347
SWE,sötpotatis,347
SWE,kattsand,347
SWE,daim,346
SWE,brö,346
SWE,jordgubb,346
SWE,vaniljsås,345
SWE,deo,344
SWE,vit,344
SWE,cho,342
SWE,vattenmelon,342
SWE,tofu,342
SWE,bönor,342
SWE,marlboro,341
SWE,filmjölk,338
SWE,mjö,338
SWE,chicken,337
SWE,salsa,337
SWE,sill,335
SWE,visp,335
SWE,zeroh,335
SWE,dressing,335
SWE,koriander,332
SWE,grill,332
SWE,päron,331
SWE,gl,330
SWE,oliv,328
SWE,sia,325
SWE,pep,325
SWE,bread,323
SWE,chark,321
SWE,havremjölk,320
SWE,färskost,318
SWE,blommor,318
SWE,riskakor,317
SWE,hamburg,317
SWE,dryck,316
SWE,kyc,315
SWE,kanel,314
SWE,chip,311
SWE,rost,311
SWE,kyck,310
SWE,cel,309
SWE,cream,309
SWE,balsam,309
SWE,vitamin,308
SWE,papper,307
SWE,kräftor,306
SWE,burrata,305
SWE,buljong,305
SWE,alvedon,304
SWE,co,303
SWE,phil,302
SWE,hund,301
SWE,ci,299
SWE,curry,299
SWE,falu,299
SWE,krossade,299
SWE,fun,297
SWE,majo,297
SWE,potatissallad,297
SWE,ha,295
SWE,baby,293
SWE,pändy,292
SWE,pastasås,292
SWE,col,291
SWE,fläsk,290
SWE,pytt,290
SWE,bindor,289
SWE,max,288
SWE,kinder,283
SWE,pannkakor,281
SWE,gräslök,281
SWE,mo,281
SWE,iskaffe,280
SWE,avocado,279
SWE,nacho,278
SWE,alpro,277
SWE,marmelad,277
SWE,färdigmat,276
SWE,liba,276
SWE,ananas,275
SWE,cre,275
SWE,peppar,274
SWE,dusch,274
SWE,fika,274
SWE,blå,273
SWE,kö,272
SWE,pi,272
SWE,oreo,271
SWE,yogh,271
SWE,smoothie,271
SWE,hushåll,270
SWE,frys,268
SWE,gräddf,267
SWE,skölj,266
SWE,vindruvor,266
SWE,smash,265
SWE,rosa,265
SWE,lins,264
SWE,mar,264
SWE,la,264
SWE,mandel,260
