Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Email,Press Mentions,Selection Rationale,Photo URL,Photo Source
AZE,Baku,Coffee Roastery,Fine Cup Coffee Roasters,Single-origin Arabica and house blends roasted in Baku,Landmark,40.3708,49.8369,4.4,N/A,N/A,N/A,https://finecup.az/,N/A,Baku specialty coffee scene,Independent downtown roaster on Sheikh Shamil Street for Landmark office and tourist baskets.,N/A,N/A
AZE,Baku,Coffee Roastery,42 Coffee Roasters,100% Arabica beans grown above 1000m,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,https://42coffeeroasters.az/,N/A,Local roastery,Baku-registered specialty roaster on Khagani Street; retail bags beat cafe-only coffee in this catchment.,N/A,N/A
AZE,Baku,Coffee Roastery,United Coffee Beans,Fresh-roasted specialty beans and cold brew,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,https://ucb.az/,hello@ucb.az,Perfect Daily Grind Baku coffee tour,City flagship of Baku third-wave coffee; list whole-bean SKUs for Nizami/Fountain Square delivery.,N/A,N/A
AZE,Baku,Brewery,Beerbaşa,House-brewed lager and ale from the on-site 1000L brewery,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,https://beerbasha.az/,N/A,Local craft beer venue,Only brewpub-scale craft beer in central Baku; canned/growler listing vs ubiquitous Xırdalan.,N/A,N/A
AZE,Baku,Distillery,Savalan Wine Boutique,Gabala-valley wines and Savalan distillates,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,https://savalan.az/,N/A,Azerbaijan's lead winery retail,Best-known Azerbaijani wine and brandy without a Gabala trip; Landmark is the natural premium listing.,N/A,N/A
AZE,Baku,Bakery,Icherisheher təndir stalls,Fresh tandir çörək baked in Old City ovens,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,N/A,N/A,Baku Food Tours street-food route,Daily tandir bread is the grocery hero next to the Old City tourist and office belt.,N/A,N/A
AZE,Baku,Delicatessen,Port Baku Bazar,Azerbaijani wine; gourmet deli and imported pantry,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,N/A,N/A,Chabiant retail list,Premium waterfront deli for Landmark; wine and gift pantry rather than bazaar staples.,N/A,N/A
AZE,Baku,Soft Drinks,Jalə,Gabala-pressed juices and nectars including pomegranate,Landmark,40.3708,49.8369,N/A,N/A,N/A,N/A,https://jale.az/,N/A,Gilan Gabala canning,Local juice alternative to global carton brands; pomegranate SKUs fit downtown gift baskets.,N/A,N/A
AZE,Baku,Butcher Shop,Taza Bazaar meat hall,Lamb; beef and offal from Nasimi's central market,Baku,40.3865,49.8465,N/A,N/A,N/A,N/A,N/A,N/A,Expat Exchange; Food Perestroika,Dark-store ranging for Azerbaijani grilling cuts that supermarket chains under-index.,N/A,N/A
AZE,Baku,Seafood Producers,Taza Bazaar fish hall,Caspian fish; smoked sturgeon and caviar counters,Baku,40.3865,49.8465,N/A,N/A,N/A,N/A,N/A,N/A,Taza Bazaar 2026 travel guides,Grocery format for smoked fish and caviar that currently lives in the bazaar not the aisle.,N/A,N/A
