Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
GRC,Athens,Koukaki,Young professionals; tourists; Koukaki/Acropolis residents,Greek majority; strong tourist mix; some expats and digital nomads,Premium,20s-40s professionals and visitors,None nearby; tourist core rather than campus,Tourist and cafe traffic all day; evening dining toward Gazi/Koukaki,Vegan and vegetarian emerging in the centre; Orthodox fasting in season,Taf/Underdog beans; KORA-style sourdough; Noctua cans; Varvakios-quality produce; Ariston pies,"Wolt Market Athens sits on Despos Sechou in Koukaki. This is the downtown premium store: specialty coffee, sourdough and a short craft-beer set. Family volume protein belongs in Peristeri and Nea Ionia, not here.",High
GRC,Athens,Ampelokipoi,Office workers; apartment residents; mixed-income central-north Athens,Greek majority; smaller tourist mix than Koukaki,Mixed to premium,30s-50s professionals; mixed-age residents,None immediate,Office-heavy weekdays; residential evenings,Orthodox fasting in season; some vegetarian office demand,KORA sourdough; everyday feta and olives; weeknight veg; short specialty-coffee set,Wolt Market Ampelokipoi is the mid-town office-and-apartment store. Range KORA and a shorter coffee set than Koukaki. Do not copy Glyfada's seafood depth.,High
GRC,Athens,Glyfada,South-coast residents; higher-spend families; some summer visitors,Greek majority; affluent coastal mix; some expats,Premium,30s-50s families and professionals,None nearby,Residential evenings; weekend coastal dining,None dominant; premium fresh fish and produce matter more than halal,Day-boat fish; salad veg; grilling halloumi/feta; premium olive oil; short craft set,"Wolt Market Glyfada is south-coast premium. Lead with fish and produce, not a Koukaki coffee clone. In range of Palaio Faliro.",High
GRC,Athens,Marousi,North-Athens professionals; office parks; family apartments,Greek majority; some Northern European expats in the north suburbs,Premium,30s-50s professionals and families,None nearby,Weekday office parks; evening family cooking,Vegetarian/vegan emerging among professionals,Kudu beans; premium dairy; weeknight veg; sourdough; short wine set,Wolt Market Marousi is north-Athens office-and-family premium. Kudu (Likovrisi/Neo Psychiko) is the local roast. Leave Varvakios fish to Koukaki/Piraeus.,High
GRC,Athens,Nea Ionia,North-central families; commuters,Greek majority; historic refugee-quarter roots; dense family suburb,Mid-range,30s-50s family-heavy,None nearby,School-run peaks; evening family cooking,Orthodox fasting in season,Daily bread; volume yoghurt and feta; weeknight veg; family meat; juices,Wolt Market Nea Ionia is a family grocery catchment. Volume dairy and weeknight cooking. Leave Taf/Underdog and Noctua to Koukaki.,Medium-High
GRC,Athens,Piraeus,Port workers; Piraeus residents; ferry traffic,Greek majority; port and island-connection mix,Mid-range,Mixed-age working households,University of Piraeus nearby,Port daytime peaks; residential evenings,Orthodox fasting in season; seafood is the ranging lead,Piraeus fish-market catch; lemon and salad veg; family bread; Piraiki craft beer; not a tourist pie set,Wolt Market Piraeus should own seafood for Attica alongside Rafina. Pair fish with everyday grocery. Do not copy Koukaki specialty coffee as the lead.,High
GRC,Athens,Peristeri,West-Athens families; dense urban suburb,Greek majority; working-family catchment,Mid-range to budget,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,Orthodox fasting in season,Value dairy; family meat; daily bread; cooking veg; pantry pulses,Wolt Market Peristeri is west-Athens family volume. Range staples and protein. Do not copy Glyfada fish or Koukaki craft beer as the lead.,High
GRC,Athens,Chalandri,Northeast-Athens professionals; families; cafe culture,Greek majority; affluent suburban mix,Premium,30s-50s professionals and families,None nearby,Cafe and retail daytime; evening family cooking,Vegetarian/vegan emerging; Orthodox fasting in season,Kudu beans; sourdough; premium produce; short wine; not Rafina fish as the hero,Wolt Market Chalandri (and the nearby Rafina-branded Chalandri address) is northeast premium. Specialty coffee and produce. Fish stays with Piraeus/Rafina port.,High
GRC,Athens,Rafina,East-Attica residents; port and island-ferry traffic; summer visitors,Greek majority; sharper summer visitor mix than inland suburbs,Mixed; premium in summer,Families year-round; mixed-age summer visitors,None nearby,Port daytime; high summer evening demand,None dominant; seafood and BBQ in summer,Port fish; salad veg; grilling cheese; water and ice; beach snacks in summer,Rafina is the east-Attica port catchment. Own day-boat fish and summer BBQ. Winter ranging shrinks to residents. Do not copy Marousi office coffee.,Medium-High
GRC,Athens,Kifisia,Affluent north-suburb families; weekend cafe traffic,Greek majority; higher-spend north-Attica mix,Premium,30s-50s families; mixed-age weekend visitors,None nearby,Weekend high street; evening residential,Vegetarian/vegan emerging among higher-spend households,Premium produce; sourdough; Kudu-style beans; deli cheese; short wine,"Kifisia is in range of Marousi, not a separate dark store. Treat as north-Attica premium family grocery. Leave port fish to Rafina/Piraeus.",Medium
GRC,Kifisia,Kifisia,Affluent north-suburb families; weekend cafe traffic,Greek majority; higher-spend north-Attica mix,Premium,30s-50s families; mixed-age weekend visitors,None nearby,Weekend high street; evening residential,Vegetarian/vegan emerging among higher-spend households,Premium produce; sourdough; Kudu-style beans; deli cheese; short wine,"Kifisia is in range of Marousi, not a separate dark store. Treat as north-Attica premium family grocery. Leave port fish to Rafina/Piraeus.",Medium
GRC,Athens,Palaio Faliro,South-coast families; seafront apartments,Greek majority; some expats along the coast,Mixed to premium,30s-50s families,None nearby,Residential evenings; weekend seafront,None dominant,Salad veg; fish from the Glyfada/Piraeus set; family dairy; daily bread,"Palaio Faliro is in range of Glyfada / Koukaki. Coastal family grocery, not downtown specialty coffee.",Medium
GRC,Palaio Faliro,Palaio Faliro,South-coast families; seafront apartments,Greek majority; some expats along the coast,Mixed to premium,30s-50s families,None nearby,Residential evenings; weekend seafront,None dominant,Salad veg; fish from the Glyfada/Piraeus set; family dairy; daily bread,"Palaio Faliro is in range of Glyfada / Koukaki. Coastal family grocery, not downtown specialty coffee.",Medium
GRC,Athens,Kallithea,Dense urban families; commuters south of the centre,Greek majority; mixed-income urban suburb,Mid-range,30s-50s families; mixed-age apartments,None nearby,Residential evenings; weekday commute,Orthodox fasting in season,Daily bread; volume dairy; weeknight veg; family meat,"Kallithea is in range of Koukaki. Urban family grocery. Leave Ariston pies and Taf beans as a short add-on, not the ranging story.",Medium
GRC,Athens,Nikaia,Piraeus-belt families; working households,Greek majority; dense west-port suburb,Mid-range to budget,30s-50s family-heavy,University of Piraeus is in the wider area,Residential evenings; industrial/port weekday peaks,Orthodox fasting in season,Value dairy; family meat; cooking veg; daily bread; a short fish set from Piraeus,Nikaia is in range of Piraeus. Working-family catchment. Seafood stays on the Piraeus store as the hero; here range volume staples.,Medium
GRC,Glyfada,Glyfada,South-coast residents; higher-spend families; some summer visitors,Greek majority; affluent coastal mix; some expats,Premium,30s-50s families and professionals,None nearby,Residential evenings; weekend coastal dining,None dominant; premium fresh fish and produce matter more than halal,Day-boat fish; salad veg; grilling cheese; premium olive oil; short craft set,City snapshot of the Glyfada dark store. South-coast premium: fish and produce first. In range of Palaio Faliro.,High
GRC,Marousi,Marousi,North-Athens professionals; office parks; family apartments,Greek majority; some Northern European expats in the north suburbs,Premium,30s-50s professionals and families,None nearby,Weekday office parks; evening family cooking,Vegetarian/vegan emerging among professionals,Kudu beans; premium dairy; weeknight veg; sourdough; short wine set,City snapshot of the Marousi dark store. North-Athens office-and-family premium. Kifisia is in range of this store.,High
GRC,Piraeus,Piraeus,Port workers; Piraeus residents; ferry traffic,Greek majority; port and island-connection mix,Mid-range,Mixed-age working households,University of Piraeus nearby,Port daytime peaks; residential evenings,Orthodox fasting in season; seafood is the ranging lead,Piraeus fish-market catch; lemon and salad veg; family bread; Piraiki craft beer,City snapshot of the Piraeus dark store. Own seafood for the port belt. Nikaia is in range.,High
GRC,Chalandri,Chalandri,Northeast-Athens professionals; families; cafe culture,Greek majority; affluent suburban mix,Premium,30s-50s professionals and families,None nearby,Cafe and retail daytime; evening family cooking,Vegetarian/vegan emerging; Orthodox fasting in season,Kudu beans; sourdough; premium produce; short wine,City snapshot of the Chalandri dark store. Northeast premium coffee and produce.,High
GRC,Peristeri,Peristeri,West-Athens families; dense urban suburb,Greek majority; working-family catchment,Mid-range to budget,30s-50s family-heavy,None nearby,Residential evenings; weekday commute,Orthodox fasting in season,Value dairy; family meat; daily bread; cooking veg; pantry pulses,"City snapshot of the Peristeri dark store. West-Athens family volume, not a craft-coffee store.",High
GRC,Thessaloniki,Stavroupoli,West-Thessaloniki families; the WM Kentro warehouse sits here,Greek majority; Pontian and Asia-Minor family roots across the city; smaller Balkan mix,Mid-range,30s-50s families; mixed-age west-city residents,AUTH is across town; not this immediate catchment,Residential evenings; weekday commute into the west city,Orthodox fasting in season,Roasters Kolektiva beans; Voreia cans; Bantis bougatsa as a grocery SKU; family dairy; weeknight veg,"Wolt Market Kentro is physically in Stavroupoli (Kolokotroni). Range west-city family grocery plus Thessaloniki craft coffee and Voreia. Bougatsa is a Local Snack listing, not only a breakfast-out habit.",High
GRC,Thessaloniki,Papafi,East-of-centre families; apartment residents,Greek majority; dense urban east catchment,Mid-range,30s-50s families; mixed-age apartments,Closer to AUTH than Stavroupoli; student spillover possible,Residential evenings; some student night demand,Orthodox fasting in season; some student vegetarian,Daily bread; family meat; cooking veg; a short Kolektiva coffee set; not the full Voreia depth of Stavroupoli,Wolt Market Papafi (Papafi 217-219) is the east store. Family grocery with a student edge. Leave Bantis and the main roast facility story to Stavroupoli/Sykies.,High
GRC,Thessaloniki,Kalamaria,Southeast-coast families; higher-spend Thessaloniki suburb,Greek majority; coastal family mix,Mixed to premium,30s-50s families,None nearby,Residential evenings; weekend seafront,None dominant,Coastal fish; salad veg; family dairy; daily bread; short craft beer,"Kalamaria is in range of Papafi, not a third dark store. Coastal family grocery. Do not copy Stavroupoli's bougatsa-and-Kolektiva lead blindly.",Medium
GRC,Kalamaria,Kalamaria,Southeast-coast families; higher-spend Thessaloniki suburb,Greek majority; coastal family mix,Mixed to premium,30s-50s families,None nearby,Residential evenings; weekend seafront,None dominant,Coastal fish; salad veg; family dairy; daily bread; short craft beer,"Kalamaria is in range of Papafi, not a third dark store. Coastal family grocery for southeast Thessaloniki.",Medium
GRC,Chania,Chania,Old-town residents; hospitality; summer visitors; west-Crete families,Greek / Cretan majority; sharp Northern European visitor mix in summer,Mixed to premium in summer; mid-range off-season,Mixed-age year-round; 20s-40s summer nightlife and beach,Hellenic Mediterranean University / Chania campus nearby,Quiet winter residential; high summer old-town and beach demand,None dominant; dakos and olive-oil pantry is the Cretan ranging lead,Charma beer; Manousakis wine; Agora olive oil and graviera; dakos rusks; day-boat fish,"Wolt Market Chania (Karamanli) is west-Crete. Range Charma, Nostos wines, Agora cheese/oil and dakos as grocery — not a tourist souvenir set. Winter ranging should shrink to residents.",High
GRC,Heraklion,Heraklion,Island capital families; office workers; summer visitors,Greek / Cretan majority; tourist mix in summer,Mixed,30s-50s families; mixed-age summer visitors,University of Crete / Hellenic Mediterranean University in the wider city,City daytime year-round; sharper summer evening demand,"None dominant; olive oil, rusks and local wine are the ranging lead",Lyrarakis indigenous wines; dakos; market olive oil; Heraklion fish; graviera,Wolt Market Heraklion (62 Martyron) is the east-Crete store. Lyrarakis (Alagni) is the wine listing versus supermarket international. Do not copy Chania's Charma as the only beer story if the SKU is not on this warehouse.,High
GRC,Patra,Patra,Port city families; students; ferry traffic to Italy,Greek majority; large student mix; some ferry/tourist traffic,Mid-range,20s students plus 30s-50s families,University of Patras (Rio) — student ranging matters,Student evening demand; port daytime; residential family cooking,Student vegetarian; Orthodox fasting in season,Tentoura Castro; Patras port fish; Achaia produce; daily bread; student snacks; not Loux as a 'local' win (it is national),Wolt Market Patra (28is Oktovriou) should own tentoura as the city liqueur versus a generic ouzo aisle. Student volume plus port fish. Exclude Loux/national sodas from the hyperlocal list.,High
GRC,Rhodes,Rhodes,Island residents; large summer visitor base; hospitality workers,Greek majority; sharp Northern European visitor mix in summer,Premium in summer; quieter mid-range off-season,Mixed-age summer visitors; year-round families,None nearby,Quiet winter; very high summer daytime beach and old-town demand,None dominant,Rhodian thyme honey; melekouni; day-boat fish; salad veg; local wine; water and ice in summer,"No live Wolt Market store yet. Rhodes is a first-store hypothesis: honey, melekouni and fish, not an Athens coffee clone. Country-level trends/search are the demand check until a store opens. Winter ranging should shrink hard.",Medium
GRC,Volos,Volos,Port-and-Pelion residents; tsipouradika culture; students,Greek majority; Thessaly mountain-and-port mix,Mid-range,20s-30s students; 30s-50s families,University of Thessaly in Volos,Tsipouradika evenings; port daytime; residential cooking,None dominant; seafood and tsipouro meze culture,Local tsipouro; Pelion mountain tea and produce; port fish; olives; not EPSA as a hyperlocal win (nationwide soda),"No live Wolt Market store yet. Volos is a first-store hypothesis: tsipouro, Pelion produce and port fish. Do not copy Athens specialty coffee as the lead. Country-level trends/search stand in until a store opens.",Medium
