Country,Name / Handle,Platform,Followers,Content Focus,Key Trend Signals,Example Link
CYP,Chryso Lefou / @chrysolefou,Instagram,45900,Cypriot cooking-show recipes,Halloumi; dairy; traditional Cypriot dishes,https://www.instagram.com/chrysolefou/
CYP,Paola Papacosta / @cypriotandproud,Instagram / Blog,N/A,Cypriot food writing and hospitality,Everyday Cypriot table; lemon; olive oil; tradition vs modern,https://www.instagram.com/cypriotandproud/
CYP,Michalis Kalopesas / NOMAD,Instagram / Podcast,N/A,Sourdough bakery founder; Hungry Games podcast,Sourdough; specialty coffee; chef interviews,N/A
CYP,Hungry Games / Paola Papacosta & Michalis Kalopesas,Podcast,N/A,Cyprus and Greece hospitality conversations,Chef signals; restaurant ingredients,https://www.buzzsprout.com/2507003
CYP,Eddy Nassar,TikTok / Instagram,50000,Cyprus culture and food enthusiast,Halloumi origin; Limassol food; local vs tourist,N/A
CYP,Irene Matys / irenematys.com,Blog / Instagram,N/A,Cypriot recipes,Home cooking; traditional dishes,https://irenematys.com/
CYP,Nikoletta Nicolaou / nikolettaskitchen.com,Blog / Instagram,N/A,Cypriot home cooking,Traditional recipes; pantry products,https://nikolettaskitchen.com/
CYP,Feedmecy / @feedmecy,Instagram,N/A,Cyprus restaurant and food finds,Where-to-eat; local dishes,https://www.instagram.com/feedmecy/
CYP,My Food Case / @myfoodcase_cy,Instagram,N/A,Cyprus food guide,Restaurant recommendations; product finds,https://www.instagram.com/myfoodcase_cy/
CYP,Yummy Cyprus,Instagram,N/A,Cyprus food discovery,Local eats; island products,N/A
CYP,Tin Coffee Roaster / tincoffeeroaster.com,Website / Instagram,N/A,Limassol specialty roasting,Whole-bean; cold brew,https://tincoffeeroaster.com/
CYP,Pivo Microbrewery / pivomicrobrewery.com.cy,Website,N/A,Nicosia craft beer,Cold-chain craft beer,https://www.pivomicrobrewery.com.cy/home
CYP,Aphrodite's Rock Microbrewery,Website,N/A,Paphos craft beer,Craft lager; cider; brewery visits,https://aphroditesrock.com.cy/
CYP,Aphrodite Delights / aphroditedelights.com,Website,N/A,Geroskipou PGI loukoumi,Loukoumi Geroskipou; traditional sweets,https://www.aphroditedelights.com/
CYP,KEAN Cyprus / kean.com.cy,Website,N/A,Limassol juices and squash,Citrus squash; local soft drinks,https://kean.com.cy/
CYP,Utu Coffee / Demetris Michaelides,Instagram,N/A,Nicosia multi-roaster cafe,Imported and co-fermented beans,N/A
CYP,Kollaborative / Christos,Instagram,N/A,Nicosia in-house roasting,Specialty beans; Kxoffee Project,N/A
CYP,Cyprus Mail food coverage,News,N/A,Island food and retail reporting,Halloumi PDO; coffee scene; food culture,https://cyprus-mail.com/
CYP,SpiceItUpCy / Nikolas Papageorgiou,Website,N/A,Cypriot spice blends and cooking,Home spices; Limassol kitchen signals,https://spiceitupcy.com/
CYP,Lefkonitziatis Dairy,Website,N/A,Agios Athanasios halloumi plant,Halloumi; yoghurt; factory shop,https://www.lefkonitziatis.com/about-us/
